season	day	day_in_year	species_type	leave_reason	n
1	583	218	greylag_nonbreeder	migration	0
1	583	218	greylag_nonbreeder	body_condition	0
1	583	218	greylag_nonbreeder	lean_weight	0
1	584	219	pinkfoot_family	migration	0
1	584	219	pinkfoot_family	body_condition	0
1	584	219	pinkfoot_family	lean_weight	0
1	584	219	pinkfoot_nonbreeder	migration	0
1	584	219	pinkfoot_nonbreeder	body_condition	0
1	584	219	pinkfoot_nonbreeder	lean_weight	0
1	584	219	barnacle_family	migration	0
1	584	219	barnacle_family	body_condition	0
1	584	219	barnacle_family	lean_weight	0
1	584	219	barnacle_nonbreeder	migration	0
1	584	219	barnacle_nonbreeder	body_condition	0
1	584	219	barnacle_nonbreeder	lean_weight	0
1	584	219	greylag_family	migration	0
1	584	219	greylag_family	body_condition	0
1	584	219	greylag_family	lean_weight	0
1	584	219	greylag_nonbreeder	migration	0
1	584	219	greylag_nonbreeder	body_condition	0
1	584	219	greylag_nonbreeder	lean_weight	0
1	585	220	pinkfoot_family	migration	0
1	585	220	pinkfoot_family	body_condition	0
1	585	220	pinkfoot_family	lean_weight	0
1	585	220	pinkfoot_nonbreeder	migration	0
1	585	220	pinkfoot_nonbreeder	body_condition	0
1	585	220	pinkfoot_nonbreeder	lean_weight	0
1	585	220	barnacle_family	migration	0
1	585	220	barnacle_family	body_condition	0
1	585	220	barnacle_family	lean_weight	0
1	585	220	barnacle_nonbreeder	migration	0
1	585	220	barnacle_nonbreeder	body_condition	0
1	585	220	barnacle_nonbreeder	lean_weight	0
1	585	220	greylag_family	migration	0
1	585	220	greylag_family	body_condition	0
1	585	220	greylag_family	lean_weight	0
1	585	220	greylag_nonbreeder	migration	0
1	585	220	greylag_nonbreeder	body_condition	0
1	585	220	greylag_nonbreeder	lean_weight	0
1	586	221	pinkfoot_family	migration	0
1	586	221	pinkfoot_family	body_condition	0
1	586	221	pinkfoot_family	lean_weight	0
1	586	221	pinkfoot_nonbreeder	migration	0
1	586	221	pinkfoot_nonbreeder	body_condition	0
1	586	221	pinkfoot_nonbreeder	lean_weight	0
1	586	221	barnacle_family	migration	0
1	586	221	barnacle_family	body_condition	0
1	586	221	barnacle_family	lean_weight	0
1	586	221	barnacle_nonbreeder	migration	0
1	586	221	barnacle_nonbreeder	body_condition	0
1	586	221	barnacle_nonbreeder	lean_weight	0
1	586	221	greylag_family	migration	0
1	586	221	greylag_family	body_condition	0
1	586	221	greylag_family	lean_weight	0
1	586	221	greylag_nonbreeder	migration	0
1	586	221	greylag_nonbreeder	body_condition	0
1	586	221	greylag_nonbreeder	lean_weight	0
1	587	222	pinkfoot_family	migration	0
1	587	222	pinkfoot_family	body_condition	0
1	587	222	pinkfoot_family	lean_weight	0
1	587	222	pinkfoot_nonbreeder	migration	0
1	587	222	pinkfoot_nonbreeder	body_condition	0
1	587	222	pinkfoot_nonbreeder	lean_weight	0
1	587	222	barnacle_family	migration	0
1	587	222	barnacle_family	body_condition	0
1	587	222	barnacle_family	lean_weight	0
1	587	222	barnacle_nonbreeder	migration	0
1	587	222	barnacle_nonbreeder	body_condition	0
1	587	222	barnacle_nonbreeder	lean_weight	0
1	587	222	greylag_family	migration	0
1	587	222	greylag_family	body_condition	0
1	587	222	greylag_family	lean_weight	0
1	587	222	greylag_nonbreeder	migration	0
1	587	222	greylag_nonbreeder	body_condition	0
1	587	222	greylag_nonbreeder	lean_weight	0
1	588	223	pinkfoot_family	migration	0
1	588	223	pinkfoot_family	body_condition	0
1	588	223	pinkfoot_family	lean_weight	0
1	588	223	pinkfoot_nonbreeder	migration	0
1	588	223	pinkfoot_nonbreeder	body_condition	0
1	588	223	pinkfoot_nonbreeder	lean_weight	0
1	588	223	barnacle_family	migration	0
1	588	223	barnacle_family	body_condition	0
1	588	223	barnacle_family	lean_weight	0
1	588	223	barnacle_nonbreeder	migration	0
1	588	223	barnacle_nonbreeder	body_condition	0
1	588	223	barnacle_nonbreeder	lean_weight	0
1	588	223	greylag_family	migration	0
1	588	223	greylag_family	body_condition	0
1	588	223	greylag_family	lean_weight	0
1	588	223	greylag_nonbreeder	migration	0
1	588	223	greylag_nonbreeder	body_condition	0
1	588	223	greylag_nonbreeder	lean_weight	0
1	589	224	pinkfoot_family	migration	0
1	589	224	pinkfoot_family	body_condition	0
1	589	224	pinkfoot_family	lean_weight	0
1	589	224	pinkfoot_nonbreeder	migration	0
1	589	224	pinkfoot_nonbreeder	body_condition	0
1	589	224	pinkfoot_nonbreeder	lean_weight	0
1	589	224	barnacle_family	migration	0
1	589	224	barnacle_family	body_condition	0
1	589	224	barnacle_family	lean_weight	0
1	589	224	barnacle_nonbreeder	migration	0
1	589	224	barnacle_nonbreeder	body_condition	0
1	589	224	barnacle_nonbreeder	lean_weight	0
1	589	224	greylag_family	migration	0
1	589	224	greylag_family	body_condition	0
1	589	224	greylag_family	lean_weight	0
1	589	224	greylag_nonbreeder	migration	0
1	589	224	greylag_nonbreeder	body_condition	0
1	589	224	greylag_nonbreeder	lean_weight	0
1	590	225	pinkfoot_family	migration	0
1	590	225	pinkfoot_family	body_condition	0
1	590	225	pinkfoot_family	lean_weight	0
1	590	225	pinkfoot_nonbreeder	migration	0
1	590	225	pinkfoot_nonbreeder	body_condition	0
1	590	225	pinkfoot_nonbreeder	lean_weight	0
1	590	225	barnacle_family	migration	0
1	590	225	barnacle_family	body_condition	0
1	590	225	barnacle_family	lean_weight	0
1	590	225	barnacle_nonbreeder	migration	0
1	590	225	barnacle_nonbreeder	body_condition	0
1	590	225	barnacle_nonbreeder	lean_weight	0
