343																		
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
64	0	15	1	1	1	31893	5910	2	209	84	NA	NA	NA	NA	NA	NA	NA	NA
65	0	15	1	1	1	9649	5917	3	358	212	31	NA	NA	NA	NA	NA	NA	NA
66	0	15	1	1	1	15013	16212	5	518	385	215	18	278	NA	NA	NA	NA	NA
67	0	15	1	1	1	6937	9580	1	211	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	0	15	1	1	1	12559	8434	2	63	509	NA	NA	NA	NA	NA	NA	NA	NA
69	0	15	1	1	1	32533	15624	1	525	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	0	15	1	1	1	14428	9929	1	213	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	0	15	1	1	1	22634	17710	2	536	326	NA	NA	NA	NA	NA	NA	NA	NA
72	0	15	1	1	1	2000	13574	1	125	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	0	15	1	1	1	3934	12600	2	61	84	NA	NA	NA	NA	NA	NA	NA	NA
74	0	15	1	1	1	4563	2993	1	479	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	0	15	1	1	1	13980	7888	1	265	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	0	15	1	1	1	4861	10103	1	50	NA	NA	NA	NA	NA	NA	NA	NA	NA
77	0	15	1	1	1	13433	14343	2	400	515	NA	NA	NA	NA	NA	NA	NA	NA
78	0	15	1	1	1	23166	17452	1	483	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	0	15	1	1	1	12027	7184	2	184	3	NA	NA	NA	NA	NA	NA	NA	NA
80	0	15	1	1	1	6464	9690	2	167	266	NA	NA	NA	NA	NA	NA	NA	NA
81	0	15	1	1	1	4024	4166	2	518	4	NA	NA	NA	NA	NA	NA	NA	NA
82	0	15	1	1	1	6333	9037	1	186	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	0	15	1	1	1	6243	9750	3	554	168	318	NA	NA	NA	NA	NA	NA	NA
84	0	15	1	1	1	27220	11740	1	182	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	0	15	1	1	1	9649	4911	2	533	10	NA	NA	NA	NA	NA	NA	NA	NA
86	0	15	1	1	1	5461	8642	1	136	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	0	15	1	1	1	19123	18988	3	354	241	206	NA	NA	NA	NA	NA	NA	NA
88	0	15	1	1	1	30869	12316	3	174	420	95	NA	NA	NA	NA	NA	NA	NA
89	0	15	1	1	1	15691	9062	1	242	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	0	15	1	1	1	31415	15691	1	496	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	0	15	1	1	1	9841	4481	1	41	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	0	15	1	1	1	24124	15738	1	554	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	0	15	1	1	1	24542	21083	1	64	NA	NA	NA	NA	NA	NA	NA	NA	NA
