FarmRef	FarmCentroidX	FarmCentroidY	FarmType	FarmSize	FarmArableSize	NoFields	NoOpenFields	AreaOpenFields	NoHunters
124	16256	9116	35	107874	107874	5	5	107874	2
125	9299	20083	35	134993	0	27	25	134946	1
126	34616	23050	41	389980	389980	14	10	350053	2
127	7884	10020	33	286689	286689	14	8	278785	3
128	32806	23889	33	33040	33040	2	1	23394	0
129	22793	11952	33	224664	0	3	3	224664	0
130	34499	12255	35	61880	61880	9	5	38567	0
131	15024	5953	35	75017	66762	7	6	68322	2
132	26948	6351	34	1623650	1623650	47	41	1593352	2
133	27572	7124	35	106010	106010	5	4	101793	1
134	7587	15483	35	55755	0	12	10	42949	1
135	766	13376	34	240639	240639	5	5	240639	2
136	12988	16475	35	95486	95486	6	6	95486	6
137	25404	4881	33	664997	581297	25	21	628344	0
138	27551	12621	35	21629	21629	2	1	8879	2
139	12061	16086	34	205188	193747	12	10	174796	2
140	33978	22710	35	162741	162741	6	4	121557	2
141	14806	9109	33	26755	6598	4	2	23544	1
142	15895	11280	35	74874	69878	16	7	65221	0
143	35486	6413	33	725866	704309	26	17	645979	2
144	26073	7699	35	91165	89272	9	5	79246	1
145	17934	16619	35	28334	0	3	3	28334	3
146	5971	17619	34	298547	298547	8	8	298547	2
147	34773	6571	35	236093	27905	14	3	68902	2
148	826	16746	32	511699	511699	10	5	465751	0
149	35878	18708	35	17381	0	1	1	17381	1
150	33010	14438	35	72409	0	5	3	57108	0
151	33923	10946	35	100009	100009	2	2	100009	1
152	26656	6774	33	634265	618625	40	26	570886	6
153	33331	23079	35	43500	11285	5	2	32599	3
154	2992	8016	33	2105233	0	58	52	2105114	1
155	15373	14036	32	77658	66310	8	3	62655	0
156	6225	20199	35	19911	0	4	2	15336	2
157	17154	12723	35	26444	12088	6	4	26427	1
158	33154	11194	35	156024	156024	12	7	143951	2
159	12749	5735	43	72403	23622	8	5	49540	1
160	29122	7402	34	706963	706963	8	8	706963	3
161	35324	8652	35	24655	0	3	1	23004	1
162	16425	6777	35	162171	139560	16	8	129910	2
163	21463	6237	34	278478	250340	18	15	278412	1
164	5198	14176	35	45197	37079	4	4	45197	3
165	14405	15429	32	1036125	943875	33	22	1023301	1
166	539	17111	34	363558	352332	16	13	359355	1
167	4584	20647	34	354555	332976	8	6	332976	3
168	33649	11852	33	270411	270411	28	19	270400	1
169	17255	12053	33	471176	369502	44	40	460640	2
170	12053	12152	33	163543	67697	8	7	163536	2
171	35250	19227	35	146876	137812	11	5	135005	3
172	1955	22363	34	249174	230440	11	10	233508	3
173	35754	9081	43	5067	5067	1	0	0	0
174	35901	7583	35	77183	77183	6	6	77183	3
175	29852	16029	33	1889486	1568502	89	77	1810392	1
176	35958	3739	35	4844	4844	1	0	0	1
177	16710	5546	35	72843	41761	5	5	72843	2
178	34410	12003	34	362566	362566	25	16	348910	2
179	6283	13570	36	2467441	2256063	66	36	2203346	0
180	26246	12896	35	64125	64125	7	5	50597	1
181	13239	13301	35	59075	0	9	9	59075	0
182	31974	15230	33	1618522	1567402	127	124	1596389	1
183	14269	13866	34	261206	261206	21	12	247834	0
184	1528	16297	33	805936	805936	48	44	804301	1
185	28871	9290	33	430475	430475	14	8	430455	1
186	7060	16718	32	251034	238158	14	13	251032	1
187	18073	7823	35	111730	76268	10	3	68518	3
188	1141	16963	33	965605	952671	38	20	960301	2
189	4308	15559	43	94897	94897	5	4	85283	1
190	35090	12701	35	96155	73893	5	4	96119	1
191	34162	23833	35	19284	19284	3	2	13897	1
192	6	20213	48	838	838	1	0	0	1
193	659	14041	33	48153	48153	1	1	48153	0
194	13696	12741	33	263364	0	6	6	263364	0
195	27072	11795	36	3030381	2828877	102	72	2837003	1
196	33009	22180	35	105076	27212	10	5	89528	2
197	16534	5146	32	726456	609311	34	28	681630	2
198	1621	20659	32	1316176	1312278	24	23	1316175	1
199	5587	12479	33	664345	585055	41	36	641141	3
200	17193	6890	33	622864	555964	48	44	621308	0
201	18528	3687	35	41905	30861	6	3	23425	2
202	183	12630	34	39499	39499	2	1	37011	3
203	35692	11616	34	207005	207005	6	6	207005	1
204	34676	11850	35	25633	25633	2	2	25633	2
205	34925	20793	43	119356	115082	25	17	99009	4
206	15791	10762	35	25189	17391	4	2	18239	2
207	27006	10753	35	132653	132653	8	5	132635	3
208	34685	19242	32	1163991	1163991	44	25	1126257	4
209	15065	15530	35	112619	0	27	23	112432	4
210	34854	13425	32	1294293	1284847	28	19	1269636	2
211	5278	12789	32	5459194	4849615	177	135	5325313	1
212	8434	6651	41	2580970	263182	81	73	2565789	2
213	2209	19223	33	346654	309754	14	12	340534	3
214	35129	11207	35	60111	35625	8	4	46307	0
215	35280	8944	48	34933	10058	4	0	0	1
216	12812	15670	35	153176	106891	8	5	148030	2
217	5669	12542	33	1075337	995494	30	25	963608	0
218	10155	17728	35	50093	0	4	4	50093	1
219	35692	2819	35	137230	134089	6	2	64437	0
220	1573	15949	35	89649	89649	12	4	79291	1
221	30422	13479	33	423091	423091	40	39	422828	1
222	33063	11993	36	273498	260819	12	12	273498	0
223	35940	19715	33	25558	9907	4	2	15447	2
224	31014	10535	37	50942	50942	7	3	20981	2
225	17261	11260	35	87006	53858	7	5	75037	2
226	4886	16626	33	108602	108602	4	2	102926	0
227	28582	16239	33	1837326	1307590	145	116	1804456	1
228	35544	9140	35	138449	138449	11	10	135862	2
229	3748	17967	36	431133	418294	11	10	426633	0
230	3964	11217	36	607010	454620	23	17	536984	2
231	4837	18757	43	67260	67260	13	11	64771	1
232	27343	5786	35	36040	36040	3	3	36040	2
233	13794	13956	35	60241	35175	19	8	44493	3
234	25681	5126	33	407126	349472	25	23	407123	1
235	33643	21853	32	1096856	1079113	89	42	1021562	2
236	2964	19144	33	639596	608006	25	22	637640	2
237	2948	15102	35	52974	0	6	5	41426	2
238	9599	10254	33	1069061	779080	29	24	1068978	0
239	32793	21462	35	31561	22669	3	2	22669	0
240	5467	13366	32	1390781	1383727	52	31	1357611	1
241	35108	20155	32	1289385	1259997	20	17	1255510	4
242	5576	15966	33	101229	101229	8	6	100688	2
243	33448	3590	33	508067	295666	45	28	472495	2
244	4168	12665	32	1362742	1330220	38	32	1321474	0
245	6448	18276	33	201760	149335	25	19	196498	3
246	4607	15817	35	23916	12378	3	1	11538	0
247	287	8742	33	178964	0	12	11	175967	4
248	110	14265	35	41640	41640	3	3	41640	1
249	12375	15773	33	93465	81080	8	8	93465	3
250	28964	13522	36	2948071	2432193	117	93	2851410	1
251	28603	12304	33	1866334	1866334	52	40	1828661	0
252	33571	6156	36	260327	260327	8	7	241497	4
253	20704	5988	33	1708619	1407071	78	54	1548075	0
254	10043	17430	32	348944	308392	11	11	348944	4
255	20981	7921	34	870437	853640	41	28	786454	0
256	12023	13909	35	21617	0	4	3	14908	0
257	21657	6932	35	74877	74877	5	4	66031	1
258	17168	7286	33	81799	65398	9	6	74135	0
259	35275	10887	34	249578	249578	12	11	244468	1
260	29347	2779	35	385949	0	42	38	385615	2
261	28976	10137	35	42765	42765	3	3	42765	1
262	35077	8369	35	36249	36249	2	2	36249	1
263	16140	11514	35	64002	8481	5	3	57924	1
264	7672	14886	33	1572874	1333208	54	48	1520171	0
265	33604	12821	35	61774	61774	4	2	61772	1
266	29759	17173	33	663663	539525	62	27	613177	3
267	33858	23252	35	83680	67865	6	6	83680	1
268	107	20034	35	40254	40254	2	2	40254	0
269	35473	18597	33	207025	203795	14	13	207022	1
270	12892	7506	33	56482	0	4	4	56482	0
271	32265	10226	33	1641461	1581487	49	26	1617170	0
272	22563	9499	33	791251	791251	21	18	791248	3
273	12890	10171	33	1941853	1695981	89	73	1892198	1
274	3305	9152	33	269182	0	3	3	269182	0
275	27964	6528	37	72050	63152	6	5	70904	3
276	12833	14490	33	603021	411896	25	22	563415	4
277	8578	8669	33	507694	0	91	81	497917	1
278	32048	23163	33	228085	214971	11	9	209995	1
279	447	11317	48	38809	0	1	0	0	2
280	6300	13918	35	58786	49290	5	4	57073	0
281	5004	14456	35	43202	43202	2	2	43202	2
282	10364	17267	33	626738	406123	29	25	610867	0
283	18167	12019	33	54843	47753	15	10	24690	0
284	8857	23693	35	46059	46059	1	1	46059	0
285	12156	6369	33	108046	104149	118	18	99632	0
286	22131	6573	44	5715616	5542195	286	207	5557946	0
287	27791	15822	33	2204842	1317329	124	116	2145769	1
288	9977	20400	35	104617	0	8	7	99020	0
289	1929	12672	32	93732	93732	1	1	93732	2
290	30691	7240	35	44206	8047	4	4	44206	1
291	28599	10943	36	2596620	2596620	49	40	2582943	0
292	22049	8060	33	1845599	1753194	49	43	1779728	3
293	7277	15227	35	46893	46893	18	12	37029	2
294	14564	8938	36	363350	292168	21	14	307943	1
295	33152	23480	32	206658	206658	16	4	187322	2
296	32386	21769	33	145884	124888	10	6	104281	3
297	668	11048	33	138310	138310	2	1	136876	2
298	29727	7735	35	23815	23815	3	2	20171	1
299	2162	20740	35	94221	94221	3	3	94221	1
300	22293	9889	33	1349510	1340699	52	50	1345678	1
301	1533	18583	32	90662	90662	9	5	82648	4
302	26011	14230	32	159547	112213	16	15	159541	1
303	207	10392	33	109512	95959	11	9	109401	0
304	32890	21922	32	4604	4604	2	2	4604	0
305	24994	7164	35	108971	108971	11	4	108919	4
306	21661	10363	34	315672	310785	48	47	315666	3
307	34437	22112	36	2947651	2877942	94	46	2834780	0
308	35990	2705	35	897	0	1	0	0	1
309	12204	15808	32	519905	455487	46	34	517229	1
310	28220	3221	35	123892	0	3	2	123811	1
311	15413	7042	33	317848	107959	39	25	292383	1
312	30479	3171	33	897512	552760	65	58	876684	2
313	23161	12019	36	242477	242477	18	14	232774	1
314	24841	10486	33	1259962	1259962	40	18	1259659	1
315	34413	12521	35	34050	29574	4	3	30337	1
316	34835	22613	34	343313	343313	5	4	338134	2
317	34435	21456	32	1370462	1360102	73	60	1314751	2
318	35952	15068	33	18007	18007	2	2	18007	2
319	28566	16622	33	221296	72920	24	18	209155	6
320	30854	8626	35	117291	117291	10	7	98808	3
321	11240	5556	43	93253	0	16	10	89436	3
322	15825	7462	33	729048	627438	45	34	625343	0
323	35410	14814	32	783814	759353	15	11	766547	1
324	11963	15365	35	99040	84998	45	43	97143	1
325	24252	12813	33	1284521	1045171	48	39	1257150	0
326	34927	23336	32	194865	187900	5	5	194865	2
327	35130	17782	33	235869	235869	1	1	235869	1
328	35811	3982	34	101505	101505	7	3	71817	1
329	17137	10471	35	45507	20688	3	3	45507	0
330	33293	15035	32	291882	291882	3	3	291882	2
331	856	9403	35	41391	0	3	3	41391	2
332	6259	15626	33	181031	0	7	6	120458	1
333	2840	11493	32	4219708	4015802	136	90	4004741	2
334	16600	11394	33	1383352	1316421	91	71	1334411	0
335	5337	9529	35	42586	0	2	2	42586	3
336	28713	12264	33	354950	320070	15	11	320070	1
337	55	10386	33	57858	0	4	3	42624	1
338	12714	14944	35	47975	0	22	10	38627	2
339	24991	5980	33	340278	329584	16	13	337605	2
340	34463	15163	34	602988	597980	15	15	602988	3
341	14744	4277	33	175840	55127	19	14	134368	2
342	8355	23566	41	419874	301967	22	17	415400	2
343	32997	8132	33	18101	18101	2	0	0	1
344	6055	16779	33	1758309	1560941	60	55	1753034	1
345	17079	14468	35	84172	0	12	2	15178	2
346	2031	16376	32	475550	412811	24	21	453604	4
347	30711	3498	48	160381	0	8	7	160380	2
348	27328	7025	33	1157172	1132065	23	21	1148582	1
349	21377	8531	32	27060	27060	2	0	0	4
350	30563	11101	33	487626	487626	15	15	487626	1
351	23131	6144	33	1653210	1589127	95	63	1617681	0
352	17740	13632	32	10208700	0	264	244	10197563	4
353	13748	16500	35	144667	144667	4	4	144667	1
354	6328	17143	34	404650	404650	5	5	404650	2
355	34450	22526	35	24008	24008	4	0	0	2
356	10166	12077	35	116738	31845	32	27	111530	6
357	1312	14708	33	637919	569376	19	16	593878	1
358	30200	11754	34	1997005	1992722	38	34	1985656	2
359	14815	9309	35	109290	58801	16	9	96234	1
360	21928	6565	35	71027	71027	4	2	54805	1
361	356	12327	32	267709	267629	26	6	267391	0
362	27108	12913	36	1473724	1473724	39	26	1429500	2
363	13302	8388	32	43422	0	3	1	37420	1
364	33201	12074	34	278961	278961	16	8	278913	1
365	14993	6189	35	56402	45339	4	4	56402	0
366	31131	15042	33	2361714	2327377	96	81	2312494	0
367	33636	9479	34	1194051	1030180	17	16	1191737	2
368	23686	2541	35	72935	15025	8	7	68169	1
369	30500	10303	33	914691	914691	26	17	906909	1
370	27686	6903	35	64907	34727	4	4	64907	0
371	10928	14527	34	6390590	6306815	131	109	6270597	1
372	9567	23444	35	23351	0	4	0	0	0
373	4905	20777	35	63030	8793	5	1	20450	0
374	33994	20716	34	481458	481458	25	23	481429	0
375	21802	4702	36	591086	0	44	28	571340	0
376	26315	7862	33	688882	624498	31	23	644356	0
