season	day	day_in_year	species	mean_weight	mean_weight_se	n	mean_weight_sd
1	806	76	greylag	3289.1	2.26963	3324	130.853
1	813	83	pinkfoot	2749.38	0.847661	6593	68.8278
1	813	83	barnacle	2027.36	0.696382	8582	64.5122
1	813	83	greylag	3289.66	3.96065	1154	134.546
1	820	90	pinkfoot	2751.44	0.955068	4590	64.7054
1	820	90	barnacle	2031.75	0.630164	8499	58.0948
1	820	90	greylag	-1	-1	0	-1
1	827	97	pinkfoot	2754.21	1.16678	2451	57.7646
1	827	97	barnacle	2035.51	0.611464	7171	51.7799
1	827	97	greylag	-1	-1	0	-1
1	834	104	pinkfoot	2756.28	2.90542	315	51.566
1	834	104	barnacle	2038.24	0.606187	5836	46.3089
1	834	104	greylag	-1	-1	0	-1
1	841	111	pinkfoot	2768.4	-1	1	-1
1	841	111	barnacle	2040.9	0.608605	4489	40.7766
1	841	111	greylag	-1	-1	0	-1
1	848	118	pinkfoot	2768.4	-1	1	-1
1	848	118	barnacle	2042.52	0.648267	3119	36.2044
1	848	118	greylag	-1	-1	0	-1
1	855	125	pinkfoot	2768.4	-1	1	-1
1	855	125	barnacle	2044.15	0.705777	1897	30.7398
1	855	125	greylag	-1	-1	0	-1
