Polyref	CX	CY	Type	Area	Country Designation
0	70	0	16	7348	3
1	131	38	30	244	-1
2	550	37	16	5730	3
3	529	51	21	1360	-1
4	511	70	11	12754	-1
5	630	63	16	4852	3
6	813	3	32	57	-1
7	841	9	6	566	-1
8	864	0	57	1	-1
9	862	4	32	19	-1
10	834	19	11	2513	-1
11	934	14	32	80	-1
12	938	9	12	37	-1
13	942	2	27	6	-1
14	945	23	0	201	-1
15	954	51	4	4700	-1
16	1183	0	52	1	-1
17	1182	2	0	49	-1
18	1215	83	10	33951	-1
19	1317	20	57	885	-1
20	1340	20	17	611	3
21	1352	9	17	30	3
22	1354	8	40	49	-1
23	1356	3	57	13	-1
24	1357	6	17	22	3
25	1359	10	0	79	-1
26	1408	7	24	537	1
27	1382	51	20	6031	-1
28	1473	25	0	162	-1
29	1440	48	57	4790	-1
30	1362	223	4	117322	-1
31	1749	59	50	955	-1
32	1791	8	4	297	-1
33	1823	16	4	869	-1
34	1643	147	10	10782	-1
35	1898	2	57	20	-1
36	1904	0	1	3	-1
37	1529	279	21	8095	-1
38	1915	1	1	5	-1
39	1934	2	6	160	-1
40	1931	38	6	6154	-1
41	1456	736	4	497973	-1
42	2322	0	57	1	-1
43	2340	11	4	598	-1
44	2363	54	32	5617	-1
45	2298	153	21	2216	-1
46	2555	11	57	219	-1
47	2555	45	0	348	-1
48	2938	369	21	9034	-1
49	2570	4	11	94	-1
50	2578	9	0	82	-1
51	2579	2	32	10	-1
52	2607	12	9	832	-1
53	2631	5	44	162	-1
54	2645	5	9	159	-1
55	2694	25	32	4517	-1
56	2743	9	32	13	-1
57	2791	45	10	8800	-1
58	2972	17	32	1549	-1
59	3019	5	44	162	-1
60	3027	22	4	2289	-1
61	3096	49	32	7592	-1
62	3167	36	11	504	-1
63	3214	46	16	7053	3
64	3928	75	16	21018	3
65	3926	0	20	2	-1
66	3929	1	1	10	-1
67	4010	28	22	1076	-1
68	3945	0	1	2	-1
69	3972	5	20	251	-1
70	3986	8	21	87	-1
71	4029	12	24	215	1
72	4076	23	20	3296	-1
73	4043	17	0	138	-1
74	4100	33	0	334	-1
75	4091	0	57	1	-1
76	4116	7	6	370	-1
77	4152	1	1	2	-1
78	5422	3096	23	237683	-1
79	4298	41	57	13908	-1
80	4443	1	0	18	-1
81	4428	6	32	358	-1
82	4729	2	16	42	3
83	4734	5	21	129	-1
84	4837	145	16	32033	3
85	4800	7	24	184	1
86	4809	4	21	61	-1
87	4816	16	20	606	-1
88	4824	0	40	3	-1
89	4946	129	57	45904	-1
90	5029	109	52	334	-1
91	5028	111	12	884	-1
92	5013	26	12	106	-1
93	5015	26	52	81	-1
94	5043	78	12	312	-1
95	5114	106	6	26035	-1
96	5173	113	12	857	-1
97	5171	105	52	322	-1
98	5219	96	6	22537	-1
99	5189	137	12	968	-1
100	5253	0	52	1	-1
101	5288	72	0	623	-1
102	5343	67	6	15358	-1
103	5415	25	57	653	-1
104	5471	23	6	5950	-1
105	5638	11	0	114	-1
106	5741	35	6	8333	-1
107	6011	51	52	254	-1
108	6012	50	12	670	-1
109	5942	7	0	53	-1
110	5947	1	57	4	-1
111	6241	2	24	30	1
112	6139	38	6	18785	-1
113	6260	19	57	270	-1
114	6284	0	57	24	-1
115	6301	2	57	19	-1
116	6373	14	21	821	-1
117	6336	2	6	81	-1
118	6346	3	57	19	-1
119	6349	3	0	23	-1
120	6353	3	57	23	-1
121	6371	7	6	385	-1
122	6389	4	57	27	-1
123	6392	8	0	52	-1
124	6413	10	18	739	2
125	6434	11	22	57	-1
126	6436	11	1	32	-1
127	6445	23	1	102	-1
128	6445	7	0	89	-1
129	6454	11	20	297	-1
130	6462	9	10	382	-1
131	6472	48	20	1423	-1
132	6930	294	12	1334	-1
133	6940	286	27	4749	-1
134	7170	57	12	1478	-1
135	7205	41	6	13419	-1
136	7286	72	57	559	-1
137	7334	99	0	2171	-1
138	7316	92	57	333	-1
139	7384	52	57	168	-1
140	7386	50	0	303	-1
141	7389	50	57	192	-1
142	7386	101	6	26947	-1
143	7483	24	57	49	-1
144	7484	9	40	36	-1
145	7520	2	24	52	1
146	7523	25	20	2530	-1
147	7550	2	24	127	1
148	7562	102	21	948	-1
149	7573	21	20	570	-1
150	7621	11	12	42	-1
151	7580	44	50	1254	-1
152	7628	3	57	6	-1
153	7616	83	6	10434	-1
154	7664	86	57	153	-1
155	7665	94	0	704	-1
156	7768	70	6	22132	-1
157	7870	1	57	3	-1
158	7872	18	52	46	-1
159	7871	16	12	180	-1
160	7919	29	6	3567	-1
161	7951	6	0	39	-1
162	7953	24	57	256	-1
163	7962	22	6	563	-1
164	7978	21	57	449	-1
165	8007	28	20	1695	-1
166	8039	13	0	81	-1
167	8041	12	32	48	-1
168	8036	29	1	134	-1
169	8071	10	6	921	-1
170	8090	12	1	175	-1
171	6825	3589	22	153047	-1
172	7969	56	1	671	-1
173	8138	3	57	25	-1
174	8137	74	6	25196	-1
175	8196	2	57	24	-1
176	9622	49	6	8488	-1
177	9736	0	57	1	-1
178	9665	52	0	772	-1
179	9743	0	12	1	-1
180	9704	28	52	108	-1
181	9672	52	12	305	-1
182	9748	0	57	1	-1
183	9796	148	6	63119	-1
184	1371	7	24	47	1
185	3948	1	1	2	-1
186	4094	2	57	4	-1
187	4134	5	1	8	-1
188	5645	27	12	1033	-1
189	6253	3	24	33	1
190	598	2	11	1	-1
191	1901	2	1	1	-1
192	3954	3	1	10	-1
193	3984	2	1	1	-1
194	3990	3	1	2	-1
195	5255	5	52	8	-1
196	7605	12	26	422	-1
197	8199	2	4	1	-1
198	9733	2	57	1	-1
199	1883	9	1	32	-1
200	2583	12	11	66	-1
201	3933	3	1	2	-1
202	5657	37	27	4838	-1
203	6306	4	40	31	-1
204	8235	18	4	366	-1
205	852	14	57	61	-1
206	2767	18	32	281	-1
207	3936	4	1	1	-1
208	4098	4	57	1	-1
209	4419	69	16	8494	3
210	6302	31	20	517	-1
211	7875	10	57	13	-1
212	2712	110	10	22736	-1
213	3938	5	1	2	-1
214	4100	5	57	1	-1
215	5945	6	57	2	-1
216	8203	5	57	1	-1
217	9729	5	57	1	-1
218	1890	6	57	1	-1
219	3941	6	1	2	-1
220	3965	7	1	7	-1
221	3983	7	1	2	-1
222	3989	7	1	3	-1
223	4103	7	57	4	-1
224	6329	9	40	61	-1
225	940	7	27	1	-1
226	3944	7	1	4	-1
227	8125	7	57	2	-1
228	9726	7	57	1	-1
229	1903	8	1	1	-1
230	5944	8	57	1	-1
231	5965	8	57	1	-1
232	8122	8	57	2	-1
233	596	9	11	1	-1
234	830	12	57	18	-1
235	1901	9	1	1	-1
236	3426	16	44	193	-1
237	3949	9	1	2	-1
238	3973	10	1	7	-1
239	4107	9	57	1	-1
240	6304	13	24	64	1
241	6334	26	20	755	-1
242	8016	18	24	322	1
243	8119	9	57	2	-1
244	9723	9	57	1	-1
245	1365	25	21	458	-1
246	1899	10	1	1	-1
247	2355	10	12	1	-1
248	3955	11	1	7	-1
249	3979	12	1	9	-1
250	4110	11	57	4	-1
251	5972	28	57	81	-1
252	7114	41	52	314	-1
253	7544	16	24	202	1
254	8116	10	57	2	-1
255	3999	20	1	33	-1
256	5258	11	52	1	-1
257	6349	13	57	28	-1
258	6444	11	20	1	-1
259	8113	11	57	2	-1
260	2351	13	12	2	-1
261	2445	19	44	193	-1
262	5646	40	12	1071	-1
263	8110	12	57	2	-1
264	810	23	16	3765	3
265	1332	20	44	193	-1
266	1891	13	1	1	-1
267	2185	108	12	1778	-1
268	2705	16	24	49	1
269	3963	14	1	7	-1
270	4114	13	57	1	-1
271	5260	16	52	8	-1
272	7170	157	6	53470	-1
273	8107	13	57	2	-1
274	8207	284	50	4857	-1
275	9436	230	4	362619	-1
276	1867	14	1	1	-1
277	1888	14	1	1	-1
278	2348	15	12	2	-1
279	2578	14	11	1	-1
280	4116	14	57	1	-1
281	5417	14	6	1	-1
282	6321	39	0	239	-1
283	6395	23	57	219	-1
284	6387	14	57	1	-1
285	8050	16	32	4	-1
286	8041	92	57	311	-1
287	1864	15	1	2	-1
288	1885	15	1	1	-1
289	2198	108	27	4586	-1
290	5644	207	6	92180	-1
291	6332	19	24	169	1
292	6393	15	57	1	-1
293	6445	16	20	2	-1
294	838	16	57	1	-1
295	1862	16	1	1	-1
296	1882	16	1	1	-1
297	2148	26	57	342	-1
298	2324	64	12	236	-1
299	3968	16	1	2	-1
300	5423	33	6	59	-1
301	6397	16	57	4	-1
302	7595	19	4	863	-1
303	840	17	57	1	-1
304	1847	26	1	28	-1
305	1878	17	1	2	-1
306	2036	19	50	23	-1
307	3971	17	1	4	-1
308	5982	17	57	1	-1
309	6418	20	57	53	-1
310	7875	18	20	2	-1
311	842	18	57	1	-1
312	1875	18	1	1	-1
313	1883	23	32	42	-1
314	2742	18	32	1	-1
315	4116	37	1	57	-1
316	6392	41	6	3529	-1
317	1869	20	1	4	-1
318	2745	20	32	2	-1
319	3976	19	1	2	-1
320	4142	48	20	2550	-1
321	6312	31	24	245	1
322	7485	103	0	510	-1
323	7497	35	40	363	-1
324	933	20	12	1	-1
325	1869	26	44	169	-1
326	2387	27	44	193	-1
327	3979	20	1	1	-1
328	4158	28	40	53	-1
329	6446	21	20	3	-1
330	8052	20	57	1	-1
331	1864	22	1	5	-1
332	2747	21	32	1	-1
333	3981	21	1	2	-1
334	5527	22	45	9	-1
335	7529	114	6	8397	-1
336	8054	21	57	1	-1
337	2749	22	32	1	-1
338	3984	22	1	4	-1
339	4803	26	24	29	1
340	5264	25	52	8	-1
341	2751	23	32	1	-1
342	6355	23	57	1	-1
343	1860	25	1	2	-1
344	3989	24	1	2	-1
345	7887	24	57	1	-1
346	8049	24	32	2	-1
347	1853	55	20	6799	-1
348	2430	25	57	1	-1
349	2754	25	32	1	-1
350	3992	25	1	4	-1
351	4024	28	0	31	-1
352	9700	25	57	1	-1
353	1857	27	1	2	-1
354	2733	34	24	183	1
355	2756	26	32	1	-1
356	4018	27	1	7	-1
357	4801	26	20	1	-1
358	5999	26	57	1	-1
359	1350	40	40	163	-1
360	3997	27	1	2	-1
361	2567	47	57	316	-1
362	4000	28	1	4	-1
363	1853	30	1	2	-1
364	2579	30	11	4	-1
365	4054	40	1	98	-1
366	4073	35	24	183	1
367	4103	34	1	14	-1
368	6437	40	22	91	-1
369	6440	46	1	45	-1
370	8271	33	4	26	-1
371	2163	69	10	19922	-1
372	4005	30	1	2	-1
373	4823	57	17	370	3
374	928	32	32	2	-1
375	1380	91	0	746	-1
376	1850	32	1	2	-1
377	4008	31	1	4	-1
378	5267	31	52	1	-1
379	8273	35	24	36	1
380	1372	36	24	111	1
381	9072	2163	4	2.867e+006	-1
382	9690	32	57	1	-1
383	1413	39	40	60	-1
384	1418	33	40	1	-1
385	1744	43	12	58	-1
386	1885	40	44	193	-1
387	2964	28	12	199	-1
388	4013	33	1	2	-1
389	5269	36	52	8	-1
390	6462	39	24	199	1
391	7599	40	44	193	-1
392	927	35	32	2	-1
393	1423	34	40	3	-1
394	1740	43	27	92	-1
395	1834	35	1	2	-1
396	1846	35	1	2	-1
397	2475	35	57	48	-1
398	2581	34	11	1	-1
399	4015	34	20	1	-1
400	4016	34	1	4	-1
401	1450	39	40	108	-1
402	6288	44	57	81	-1
403	6708	77	52	673	-1
404	6950	51	57	1431	-1
405	1054	39	57	38	-1
406	1843	37	1	2	-1
407	2458	75	20	6197	-1
408	2575	43	44	193	-1
409	4021	36	1	2	-1
410	926	38	32	2	-1
411	1088	67	50	2371	-1
412	1072	37	57	3	-1
413	1831	37	1	1	-1
414	1900	40	32	13	-1
415	2582	37	11	1	-1
416	3009	37	12	1	-1
417	4023	37	20	1	-1
418	4024	37	1	4	-1
419	5472	38	45	9	-1
420	6918	44	44	193	-1
421	8033	90	0	319	-1
422	1080	39	57	12	-1
423	1829	38	1	1	-1
424	1841	38	1	1	-1
425	2449	41	57	9	-1
426	3068	349	32	109245	-1
427	4108	48	0	110	-1
428	4210	93	0	825	-1
429	7968	45	0	174	-1
430	7994	101	6	7983	-1
431	926	39	12	1	-1
432	1838	40	1	2	-1
433	2099	39	50	2	-1
434	2583	39	11	1	-1
435	2770	43	32	27	-1
436	4029	39	1	2	-1
437	9680	39	57	1	-1
438	677	160	6	61758	-1
439	925	41	32	2	-1
440	1826	40	1	1	-1
441	2097	40	57	3	-1
442	4031	40	20	1	-1
443	4032	40	1	4	-1
444	6312	48	20	45	-1
445	7954	52	12	139	-1
446	7834	91	1	713	-1
447	8	45	11	27	-1
448	655	43	57	4	-1
449	1086	41	57	1	-1
450	1824	41	1	1	-1
451	1835	42	1	2	-1
452	6320	42	40	19	-1
453	8267	44	30	14	-1
454	925	42	12	1	-1
455	1035	152	32	21121	-1
456	1329	94	57	1414	-1
457	2584	42	11	1	-1
458	2777	42	32	1	-1
459	4037	42	1	2	-1
460	5272	42	52	1	-1
461	6293	11	21	380	-1
462	7984	44	52	17	-1
463	924	44	32	3	-1
464	1819	52	1	36	-1
465	2504	44	57	4	-1
466	2807	50	44	193	-1
467	3152	50	44	193	-1
468	4040	43	1	2	-1
469	1819	44	1	1	-1
470	3344	117	12	2406	-1
471	4042	44	20	1	-1
472	4046	45	1	7	-1
473	5274	47	52	8	-1
474	6034	44	57	1	-1
475	6328	44	57	4	-1
476	6331	44	40	2	-1
477	920	46	57	17	-1
478	4198	73	20	1607	-1
479	6005	45	57	1	-1
480	6036	45	57	1	-1
481	6334	45	57	4	-1
482	27	58	32	3512	-1
483	3021	57	32	191	-1
484	5584	67	57	169	-1
485	6007	46	57	1	-1
486	6038	46	57	1	-1
487	6339	46	57	3	-1
488	9670	46	57	1	-1
489	652	62	57	32	-1
490	1814	47	1	1	-1
491	4050	47	20	1	-1
492	4051	47	1	2	-1
493	6009	47	57	1	-1
494	7974	47	52	3	-1
495	2258	122	32	12937	-1
496	3019	60	11	247	-1
497	4053	48	20	1	-1
498	4065	52	1	34	-1
499	4126	52	24	170	0
500	6011	48	57	1	-1
501	6435	50	57	4	-1
502	7910	58	40	256	-1
503	7970	48	52	2	-1
504	9667	48	57	1	-1
505	9820	177	0	1809	-1
506	1811	49	1	1	-1
507	6013	49	57	1	-1
508	7483	50	40	2	-1
509	7523	50	40	23	-1
510	7967	49	52	2	-1
511	1808	51	1	2	-1
512	4058	50	20	1	-1
513	4304	110	0	1674	-1
514	6015	50	57	1	-1
515	6298	54	57	20	-1
516	6713	76	12	2298	-1
517	7964	50	52	1	-1
518	1893	51	57	1	-1
519	3440	142	12	2109	-1
520	4047	57	17	30	3
521	4047	77	57	685	-1
522	4061	51	20	1	-1
523	6017	51	57	1	-1
524	6402	57	6	231	-1
525	6777	156	6	136267	-1
526	7483	118	57	283	-1
527	7492	117	57	1413	-1
528	7923	55	57	72	-1
529	7961	51	52	1	-1
530	1800	56	1	9	-1
531	3194	75	11	817	-1
532	6019	52	57	1	-1
533	6549	52	57	7	-1
534	7103	153	12	836	-1
535	7887	55	24	33	1
536	7958	52	52	1	-1
537	8265	54	30	4	-1
538	9997	52	12	1	-1
539	1892	54	57	2	-1
540	2587	53	11	1	-1
541	2775	53	32	1	-1
542	3344	115	27	11072	-1
543	5081	158	0	970	-1
544	5277	53	52	1	-1
545	5420	54	45	9	-1
546	6021	53	57	1	-1
547	6556	53	57	3	-1
548	7569	56	40	8	-1
549	7954	53	52	1	-1
550	9660	53	57	1	-1
551	9991	56	12	6	-1
552	9822	181	52	592	-1
553	4150	65	24	184	0
554	4237	79	20	1715	-1
555	6023	54	57	1	-1
556	6562	54	57	1	-1
557	7104	164	52	218	-1
558	7951	54	52	1	-1
559	9823	182	12	694	-1
560	5030	55	52	1	-1
561	5279	58	52	8	-1
562	5409	31	0	273	-1
563	6025	55	57	1	-1
564	6407	55	57	2	-1
565	6469	140	20	9381	-1
566	6522	117	57	288	-1
567	7590	55	40	26	-1
568	7895	66	24	304	1
569	7948	55	52	1	-1
570	9559	62	44	193	-1
571	9657	55	57	1	-1
572	1891	57	57	2	-1
573	2776	56	32	1	-1
574	6027	56	57	1	-1
575	6400	56	57	3	-1
576	7582	56	57	21	-1
577	7945	56	52	1	-1
578	7972	56	57	1	-1
579	9996	57	57	3	-1
580	4075	58	20	4	-1
581	5031	57	52	1	-1
582	6029	57	57	1	-1
583	6392	57	57	4	-1
584	6258	78	21	1847	-1
585	7567	97	57	90	-1
586	7942	57	52	1	-1
587	9626	82	52	85	-1
588	9666	57	57	1	-1
589	9823	223	6	35387	-1
590	1797	59	20	2	-1
591	6031	58	57	1	-1
592	6384	58	57	6	-1
593	7965	58	57	1	-1
594	9984	61	12	6	-1
595	69	97	11	3386	-1
596	1889	65	57	15	-1
597	1921	65	50	65	-1
598	5032	59	52	1	-1
599	6033	59	57	1	-1
600	6335	62	57	169	-1
601	7961	59	57	2	-1
602	8264	60	30	3	-1
603	9663	59	57	1	-1
604	9989	62	57	6	-1
605	2571	60	57	32	-1
606	2593	75	1	51	-1
607	2777	60	32	1	-1
608	4060	75	40	50	-1
609	6035	60	57	1	-1
610	6476	60	20	4	-1
611	6457	66	21	267	-1
612	6517	133	0	404	-1
613	7886	38	20	885	-1
614	7932	60	52	1	-1
615	7958	60	57	2	-1
616	1794	61	20	1	-1
617	2560	114	0	898	-1
618	2595	61	1	1	-1
619	5033	61	52	1	-1
620	6037	61	57	1	-1
621	6466	61	20	1	-1
622	7929	61	52	1	-1
623	7953	108	0	280	-1
624	7955	61	57	1	-1
625	4264	99	20	909	-1
626	6039	62	57	1	-1
627	6285	67	57	404	-1
628	6119	123	6	70762	-1
629	7926	62	52	1	-1
630	7951	108	57	156	-1
631	943	70	44	193	-1
632	4089	63	40	2	-1
633	4112	63	1	1	-1
634	5034	63	52	1	-1
635	6041	63	57	1	-1
636	6329	65	0	190	-1
637	6355	63	6	6	-1
638	9977	66	12	6	-1
639	1790	64	20	1	-1
640	2562	95	57	3089	-1
641	2596	64	1	1	-1
642	2778	64	32	1	-1
643	4074	77	1	59	-1
644	4114	64	1	1	-1
645	5282	64	52	1	-1
646	6043	64	57	1	-1
647	6239	64	57	1	-1
648	6059	64	18	4233	2
649	6243	70	57	13	-1
650	6346	64	6	4	-1
651	9985	65	57	2	-1
652	3218	224	16	74163	3
653	4116	65	1	1	-1
654	5035	65	52	1	-1
655	6045	65	57	1	-1
656	7913	115	6	5715	-1
657	8263	66	30	3	-1
658	4289	102	20	1806	-1
659	5284	69	52	8	-1
660	6047	66	57	1	-1
661	6222	66	57	1	-1
662	6448	73	0	170	-1
663	9653	66	57	1	-1
664	9982	67	57	3	-1
665	2597	67	1	1	-1
666	4041	67	17	1	3
667	4075	99	40	4191	-1
668	5036	67	52	1	-1
669	6049	67	57	1	-1
670	6081	67	57	1	-1
671	6214	67	57	3	-1
672	9063	214	26	165018	-1
673	2779	68	32	1	-1
674	6051	68	57	1	-1
675	6083	68	57	1	-1
676	6206	68	57	3	-1
677	6437	71	22	10	-1
678	9650	68	57	1	-1
679	9970	71	12	6	-1
680	3051	69	32	1	-1
681	4063	73	1	9	-1
682	4100	69	1	1	-1
683	4125	69	1	1	-1
684	6053	69	57	1	-1
685	6085	69	57	2	-1
686	6197	69	57	4	-1
687	6422	158	1	234	-1
688	6443	85	1	45	-1
689	9975	72	57	6	-1
690	1348	72	40	4	-1
691	2425	70	57	1	-1
692	3058	71	32	8	-1
693	4102	70	1	1	-1
694	4127	70	1	1	-1
695	5038	70	52	1	-1
696	6055	70	57	1	-1
697	6088	70	57	2	-1
698	6189	70	57	5	-1
699	9647	70	57	1	-1
700	1111	76	57	15	-1
701	2434	72	57	19	-1
702	4104	71	1	1	-1
703	5362	72	45	9	-1
704	6057	71	57	1	-1
705	6091	71	57	1	-1
706	6181	71	57	5	-1
707	6287	71	6	6	-1
708	8262	72	30	2	-1
709	1620	79	44	193	-1
710	2599	72	1	1	-1
711	4106	72	1	1	-1
712	5039	72	52	1	-1
713	6059	72	57	1	-1
714	6100	74	57	14	-1
715	6174	72	57	5	-1
716	6280	72	6	6	-1
717	84	80	44	193	-1
718	113	96	0	348	-1
719	2780	73	32	1	-1
720	4108	73	1	1	-1
721	6061	73	57	1	-1
722	6166	73	57	5	-1
723	6272	73	6	6	-1
724	9966	74	12	2	-1
725	119	74	11	1	-1
726	2600	74	1	1	-1
727	4150	133	0	395	-1
728	4136	74	1	1	-1
729	4149	79	0	40	-1
730	5040	74	52	1	-1
731	6064	75	57	4	-1
732	6157	74	57	7	-1
733	6265	74	6	6	-1
734	7914	74	57	2	-1
735	9950	90	57	44	-1
736	119	76	12	2	-1
737	145	114	20	5582	-1
738	1347	76	40	3	-1
739	4113	75	1	1	-1
740	4138	75	1	1	-1
741	4319	97	20	1647	-1
742	5287	75	52	1	-1
743	6140	76	57	32	-1
744	6257	75	6	6	-1
745	6412	82	32	78	-1
746	6434	75	22	1	-1
747	6405	146	20	3488	-1
748	6475	91	24	401	1
749	7236	104	57	80	-1
750	7911	75	57	2	-1
751	9640	75	57	1	-1
752	2474	89	24	273	1
753	4115	76	1	1	-1
754	4140	76	1	1	-1
755	5041	76	52	1	-1
756	6114	76	57	13	-1
757	6250	76	6	6	-1
758	7908	76	57	1	-1
759	9962	77	12	2	-1
760	649	77	17	1	3
761	1773	77	20	1	-1
762	1873	83	50	98	-1
763	4117	77	1	1	-1
764	4142	77	1	1	-1
765	4340	77	40	1	-1
766	5305	114	52	99	-1
767	6068	77	57	1	-1
768	6242	77	6	6	-1
769	9637	77	57	1	-1
770	118	78	12	1	-1
771	2609	94	1	47	-1
772	2781	79	32	2	-1
773	4119	78	1	1	-1
774	4187	82	24	178	0
775	5042	78	52	1	-1
776	6070	78	57	1	-1
777	6235	78	6	6	-1
778	7560	145	57	110	-1
779	7878	135	57	397	-1
780	8261	78	30	1	-1
781	4147	79	1	1	-1
782	4519	79	1	14	-1
783	6072	79	57	1	-1
784	6227	79	6	6	-1
785	7360	108	57	1690	-1
786	9634	79	57	1	-1
787	9959	79	12	1	-1
788	117	81	12	2	-1
789	915	100	12	83	-1
790	1346	81	40	3	-1
791	4124	80	1	1	-1
792	4149	80	1	1	-1
793	4547	113	21	573	-1
794	5043	80	52	1	-1
795	6095	88	57	184	-1
796	6220	80	6	5	-1
797	7864	80	57	2	-1
798	7866	80	40	1	-1
799	1830	86	24	62	1
800	4126	81	1	1	-1
801	4151	81	1	1	-1
802	5373	117	12	293	-1
803	6212	81	6	6	-1
804	7861	81	57	2	-1
805	7863	81	40	1	-1
806	9955	82	12	2	-1
807	4128	82	1	1	-1
808	4153	82	1	1	-1
809	5044	82	52	1	-1
810	6205	82	6	5	-1
811	6409	82	57	1	-1
812	7858	82	57	2	-1
813	7860	82	40	1	-1
814	9630	82	57	1	-1
815	116	83	12	1	-1
816	919	102	27	279	-1
817	2782	84	32	2	-1
818	4130	83	1	1	-1
819	4347	86	24	23	0
820	5212	227	27	4816	-1
821	6196	83	6	4	-1
822	7852	84	57	6	-1
823	4107	105	24	1056	0
824	4132	84	1	1	-1
825	4344	100	20	1083	-1
826	4530	84	1	1	-1
827	5045	84	52	1	-1
828	6187	84	57	1	-1
829	6189	84	6	3	-1
830	9627	84	57	1	-1
831	9952	84	12	1	-1
832	115	85	12	1	-1
833	2872	103	9	1538	-1
834	4044	91	1	12	-1
835	4160	85	1	1	-1
836	4232	88	24	58	0
837	4519	85	1	5	-1
838	5825	100	57	148	-1
839	6179	85	57	1	-1
840	6180	85	6	2	-1
841	7848	85	57	2	-1
842	7850	85	40	1	-1
843	1345	87	40	2	-1
844	1763	87	50	2	-1
845	4162	86	1	1	-1
846	4480	66	20	3768	-1
847	4523	159	0	996	-1
848	5046	86	52	1	-1
849	6171	86	57	3	-1
850	6173	86	6	1	-1
851	7261	145	18	5489	2
852	7845	86	57	2	-1
853	9624	86	57	1	-1
854	4055	95	1	16	-1
855	4139	87	1	1	-1
856	4164	87	1	1	-1
857	6163	87	57	3	-1
858	7842	87	57	3	-1
859	7848	113	6	2014	-1
860	7873	104	0	105	-1
861	9948	87	12	1	-1
862	114	88	12	1	-1
863	1759	89	50	4	-1
864	1619	198	6	9151	-1
865	2783	89	32	3	-1
866	4141	88	1	1	-1
867	4166	88	1	1	-1
868	4534	89	1	2	-1
869	5047	88	52	1	-1
870	6154	88	57	4	-1
871	7838	88	57	2	-1
872	7840	88	40	1	-1
873	8282	89	12	3	-1
874	9621	88	57	1	-1
875	2403	95	57	64	-1
876	4143	89	1	1	-1
877	4267	93	24	24	0
878	4527	90	1	2	-1
879	6146	89	57	3	-1
880	7835	89	57	2	-1
881	113	90	12	1	-1
882	4145	90	40	1	-1
883	4217	98	24	97	0
884	5048	90	52	1	-1
885	5297	91	45	9	-1
886	6137	90	57	5	-1
887	7832	90	57	2	-1
888	9617	91	57	2	-1
889	1750	95	50	12	-1
890	2600	91	32	1	-1
891	3563	173	32	151447	-1
892	4147	91	40	1	-1
893	4173	91	1	1	-1
894	4246	95	24	66	0
895	7829	91	57	1	-1
896	7830	91	40	1	-1
897	112	92	12	1	-1
898	1824	103	24	323	1
899	2601	92	1	1	-1
900	2672	99	44	193	-1
901	4149	92	40	1	-1
902	4150	92	1	1	-1
903	4175	92	1	1	-1
904	4350	94	24	11	0
905	4529	93	1	3	-1
906	4537	93	1	2	-1
907	5049	92	52	1	-1
908	5381	127	12	284	-1
909	7825	92	57	2	-1
910	9941	92	12	1	-1
911	1128	128	16	610	3
912	2601	93	32	1	-1
913	2784	94	32	3	-1
914	4123	119	40	1633	-1
915	4162	101	40	50	-1
916	4152	93	1	1	-1
917	4177	93	1	1	-1
918	4183	95	0	17	-1
919	6393	93	32	1	-1
920	7329	161	6	11761	-1
921	7822	93	57	1	-1
922	7823	93	40	1	-1
923	9614	93	57	1	-1
924	2415	121	26	2391	-1
925	2602	94	1	1	-1
926	2664	98	32	12	-1
927	4154	94	1	1	-1
928	4179	94	1	1	-1
929	5050	94	52	1	-1
930	7819	94	57	1	-1
931	7820	94	40	1	-1
932	111	95	12	1	-1
933	2602	96	32	2	-1
934	2918	102	44	193	-1
935	4540	98	1	9	-1
936	4891	111	17	89	3
937	5451	270	6	36487	-1
938	7816	95	57	1	-1
939	9611	95	57	1	-1
940	9937	95	12	1	-1
941	974	203	12	463	-1
942	4184	96	1	1	-1
943	4532	98	1	4	-1
944	5054	102	52	14	-1
945	7813	96	40	1	-1
946	110	97	12	1	-1
947	2603	97	1	1	-1
948	2786	103	32	12	-1
949	3564	115	12	177	-1
950	4186	97	1	1	-1
951	4255	106	24	100	0
952	4492	104	24	94	0
953	6392	97	32	1	-1
954	7809	97	57	1	-1
955	7810	97	40	1	-1
956	8219	314	12	933	-1
957	1744	98	50	1	-1
958	1711	120	57	171	-1
959	1684	191	6	2990	-1
960	2603	99	32	7	-1
961	2825	105	44	193	-1
962	4147	131	1	606	-1
963	4188	98	1	1	-1
964	4237	107	24	153	0
965	7806	98	57	1	-1
966	9933	98	12	1	-1
967	3172	100	11	773	-1
968	3254	104	11	117	-1
969	3568	113	26	236	-1
970	4028	106	1	14	-1
971	7803	99	40	1	-1
972	8279	107	26	37	-1
973	109	100	12	1	-1
974	1761	101	32	4	-1
975	2604	100	1	1	-1
976	3123	100	11	1	-1
977	6391	100	32	1	-1
978	6469	110	21	300	-1
979	7800	100	40	1	-1
980	9599	100	12	1	-1
981	2422	101	57	2	-1
982	4169	103	40	5	-1
983	4195	101	1	1	-1
984	4533	114	1	75	-1
985	7796	101	40	1	-1
986	9929	101	12	1	-1
987	108	102	12	1	-1
988	570	109	44	193	-1
989	1695	117	50	243	-1
990	2425	102	57	2	-1
991	4197	102	1	1	-1
992	7793	102	40	1	-1
993	9596	102	12	1	-1
994	1011	128	4	1585	-1
995	2429	103	57	1	-1
996	7790	103	40	1	-1
