Polyref	CX	CY	Type	Area	Country Designation
32674	2164	6121	57	1	-1
32675	2175	6121	10	1	-1
32676	3931	6128	24	234	0
32677	5329	6123	1	4	-1
32678	5465	6121	57	1	-1
32679	7333	6121	57	1	-1
32680	8364	6121	57	1	-1
32681	1895	6122	27	2	-1
32682	2060	6207	52	499	-1
32683	2167	6122	57	1	-1
32684	2178	6122	10	2	-1
32685	2828	6210	50	11887	-1
32686	3862	6141	24	981	0
32687	3920	6128	20	18	-1
32688	3970	6136	0	83	-1
32689	3997	6119	1	65	-1
32690	4009	6123	0	6	-1
32691	7337	6122	57	1	-1
32692	8368	6123	57	2	-1
32693	348	6124	57	2	-1
32694	1893	6123	27	1	-1
32695	2170	6123	57	1	-1
32696	2181	6123	10	2	-1
32697	7341	6123	57	1	-1
32698	8547	6123	57	1	-1
32699	1888	6125	27	5	-1
32700	2173	6124	57	1	-1
32701	2184	6124	10	2	-1
32702	3982	6126	20	11	-1
32703	3988	6131	20	60	-1
32704	5335	6126	1	4	-1
32705	5464	6125	57	2	-1
32706	6073	6125	57	2	-1
32707	6118	6242	0	930	-1
32708	7344	6124	57	2	-1
32709	8363	6124	57	1	-1
32710	705	6126	20	167	-1
32711	758	6125	23	95	-1
32712	676	6128	1	272	-1
32713	1852	6168	57	560	-1
32714	2176	6125	57	1	-1
32715	2187	6125	10	2	-1
32716	3073	6125	46	3	-1
32717	7348	6125	57	2	-1
32718	8367	6126	57	2	-1
32719	347	6126	57	1	-1
32720	2179	6126	57	1	-1
32721	2190	6126	10	2	-1
32722	3069	6126	46	3	-1
32723	6262	6272	57	2428	-1
32724	6261	6300	6	42584	-1
32725	7352	6126	57	2	-1
32726	8017	6127	50	2	-1
32727	8546	6126	57	1	-1
32728	1260	6130	57	23	-1
32729	1306	6201	6	6767	-1
32730	2182	6127	57	1	-1
32731	2193	6127	10	2	-1
32732	3064	6127	46	2	-1
32733	5695	6128	1	6	-1
32734	6072	6128	57	2	-1
32735	7356	6127	57	2	-1
32736	346	6128	57	1	-1
32737	815	6128	1	16	-1
32738	2132	6140	57	47	-1
32739	2185	6128	57	1	-1
32740	2196	6128	10	2	-1
32741	3060	6128	46	2	-1
32742	3298	6128	50	1	-1
32743	3954	6132	1	8	-1
32744	3998	6147	24	1093	0
32745	3999	6128	20	1	-1
32746	5328	6130	1	4	-1
32747	5463	6128	57	1	-1
32748	7360	6128	57	3	-1
32749	8366	6128	57	1	-1
32750	8632	6133	57	42	-1
32751	860	6131	1	73	-1
32752	2188	6129	57	1	-1
32753	2199	6129	10	2	-1
32754	3056	6129	46	1	-1
32755	3300	6129	50	1	-1
32756	4001	6129	20	1	-1
32757	6217	6182	0	414	-1
32758	7364	6129	57	3	-1
32759	8018	6130	50	2	-1
32760	8545	6129	57	1	-1
32761	1983	6130	57	1	-1
32762	2191	6130	57	1	-1
32763	2202	6130	10	2	-1
32764	3052	6130	46	1	-1
32765	3302	6130	50	1	-1
32766	5334	6132	1	4	-1
32767	6071	6131	57	2	-1
32768	6234	6133	57	5	-1
32769	6277	6130	50	2	-1
32770	7367	6130	57	2	-1
32771	8365	6131	57	2	-1
32772	1410	6139	12	17	-1
32773	1985	6131	57	1	-1
32774	2194	6131	57	1	-1
32775	2205	6131	10	2	-1
32776	3042	6132	46	3	-1
32777	3047	6131	46	1	-1
32778	3304	6131	50	1	-1
32779	4664	6293	6	64220	-1
32780	5462	6132	57	2	-1
32781	6285	6131	50	10	-1
32782	7371	6131	57	2	-1
32783	532	6132	1	23	-1
32784	1987	6132	57	1	-1
32785	2197	6132	57	1	-1
32786	2208	6132	10	2	-1
32787	3306	6132	50	1	-1
32788	3975	6148	1	74	-1
32789	4018	6135	20	14	-1
32790	5702	6133	22	2	-1
32791	7374	6132	57	2	-1
32792	8019	6133	50	2	-1
32793	8544	6132	57	1	-1
32794	8706	6201	10	89463	-1
32795	500	6133	1	28	-1
32796	1989	6133	57	1	-1
32797	2200	6133	57	1	-1
32798	2215	6134	10	9	-1
32799	3308	6133	50	1	-1
32800	3930	6151	0	176	-1
32801	6068	6139	57	16	-1
32802	6294	6133	50	1	-1
32803	6561	6134	57	2	-1
32804	7378	6133	57	2	-1
32805	8364	6134	57	2	-1
32806	467	6134	1	66	-1
32807	895	6134	1	7	-1
32808	1991	6134	57	1	-1
32809	2203	6134	57	1	-1
32810	3310	6134	50	1	-1
32811	3818	6136	24	17	0
32812	4026	6151	1	196	-1
32813	5692	6138	1	9	-1
32814	6880	6135	57	6	-1
32815	7382	6134	57	1	-1
32816	125	6152	6	2836	-1
32817	904	6135	1	5	-1
32818	1993	6135	57	1	-1
32819	2206	6135	57	1	-1
32820	3312	6135	50	1	-1
32821	5327	6137	1	5	-1
32822	5461	6135	57	1	-1
32823	7385	6135	57	1	-1
32824	8020	6136	50	2	-1
32825	8543	6135	57	1	-1
32826	9033	6125	52	241	-1
32827	386	6137	1	69	-1
32828	913	6136	1	4	-1
32829	1995	6136	57	1	-1
32830	2209	6136	57	1	-1
32831	2221	6136	10	2	-1
32832	3314	6136	50	2	-1
32833	3919	6139	20	7	-1
32834	4008	6137	20	6	-1
32835	6233	6137	57	6	-1
32836	6557	6137	57	3	-1
32837	6563	6138	57	13	-1
32838	7389	6136	57	1	-1
32839	8363	6136	57	1	-1
32840	687	6138	1	66	-1
32841	796	6138	1	143	-1
32842	922	6137	1	3	-1
32843	1997	6137	57	1	-1
32844	2212	6137	57	1	-1
32845	2224	6137	10	2	-1
32846	3317	6137	50	1	-1
32847	3887	6139	0	72	-1
32848	4036	6147	1	100	-1
32849	4351	6137	57	1	-1
32850	5333	6140	1	6	-1
32851	6885	6137	57	1	-1
32852	7392	6137	57	1	-1
32853	8232	6137	57	1	-1
32854	8957	6101	12	976	-1
32855	694	6139	20	110	-1
32856	730	6138	20	36	-1
32857	769	6139	23	109	-1
32858	930	6138	1	1	-1
32859	1999	6138	57	1	-1
32860	2215	6138	57	1	-1
32861	2227	6138	10	2	-1
32862	3319	6138	50	1	-1
32863	5460	6138	57	1	-1
32864	6887	6138	57	2	-1
32865	6896	6138	57	1	-1
32866	7395	6138	57	1	-1
32867	8021	6139	50	2	-1
32868	8235	6138	57	1	-1
32869	8362	6139	57	2	-1
32870	8542	6138	57	1	-1
32871	9063	6140	57	21	-1
32872	346	6139	1	14	-1
32873	581	6141	1	184	-1
32874	631	6161	21	2442	-1
32875	965	6265	6	74366	-1
32876	816	6139	23	2	-1
32877	937	6139	1	3	-1
32878	2001	6139	57	1	-1
32879	2218	6139	57	2	-1
32880	2230	6139	10	2	-1
32881	3321	6139	50	1	-1
32882	6890	6139	57	1	-1
32883	6957	6158	32	67	-1
32884	7398	6139	57	2	-1
32885	8687	6141	50	19	-1
32886	9061	6214	50	1202	-1
32887	9098	6197	8	7072	-1
32888	330	6140	1	11	-1
32889	594	6157	20	2040	-1
32890	686	6142	0	186	-1
32891	738	6157	0	303	-1
32892	843	6140	1	9	-1
32893	944	6140	1	3	-1
32894	2003	6140	57	1	-1
32895	2221	6140	57	2	-1
32896	2233	6140	10	2	-1
32897	3323	6140	50	1	-1
32898	3848	6171	1	282	-1
32899	3942	6143	1	7	-1
32900	7402	6140	57	1	-1
32901	8242	6140	57	1	-1
32902	304	6142	1	38	-1
32903	535	6142	1	1033	-1
32904	553	6146	22	2282	-1
32905	856	6141	1	9	-1
32906	951	6141	1	3	-1
32907	2006	6142	57	4	-1
32908	2224	6141	57	2	-1
32909	2236	6141	10	2	-1
32910	3325	6141	50	1	-1
32911	3901	6146	24	120	0
32912	3972	6150	22	180	-1
32913	5076	6143	57	4	-1
32914	6571	6141	57	2	-1
32915	6957	6147	57	15	-1
32916	7405	6141	57	2	-1
32917	8022	6142	50	2	-1
32918	8245	6141	57	1	-1
32919	8361	6142	57	2	-1
32920	8541	6141	57	1	-1
32921	595	6145	0	342	-1
32922	740	6167	57	88	-1
32923	869	6142	1	11	-1
32924	958	6142	1	4	-1
32925	1404	6149	44	193	-1
32926	2227	6142	57	2	-1
32927	2240	6142	10	1	-1
32928	3327	6142	50	1	-1
32929	3979	6144	20	171	-1
32930	4011	6143	20	5	-1
32931	4165	6243	6	26227	-1
32932	5459	6142	57	1	-1
32933	6574	6142	57	1	-1
32934	7409	6142	57	1	-1
32935	8248	6142	57	1	-1
32936	684	6145	20	239	-1
32937	733	6170	20	880	-1
32938	881	6143	1	11	-1
32939	965	6143	1	5	-1
32940	2230	6143	57	2	-1
32941	2243	6143	10	2	-1
32942	3049	6197	10	2940	-1
32943	3065	6151	57	24	-1
32944	3329	6143	50	1	-1
32945	3971	6144	0	2	-1
32946	4362	6143	57	1	-1
32947	5326	6146	1	7	-1
32948	6231	6144	57	2	-1
32949	6577	6143	57	1	-1
32950	7040	6143	17	1	3
32951	8251	6143	57	1	-1
32952	8711	6150	44	193	-1
32953	9135	6144	50	3	-1
32954	280	6144	1	11	-1
32955	470	6144	1	28	-1
32956	933	6149	1	102	-1
32957	971	6144	1	4	-1
32958	1310	6144	46	1	-1
32959	2010	6144	57	1	-1
32960	2233	6144	57	2	-1
32961	2246	6144	10	2	-1
32962	3331	6144	50	1	-1
32963	3960	6146	1	13	-1
32964	4364	6144	57	1	-1
32965	5690	6145	1	6	-1
32966	6579	6144	57	1	-1
32967	7045	6144	17	1	3
32968	7416	6144	57	1	-1
32969	8023	6145	50	2	-1
32970	8042	6144	4	1	-1
32971	8254	6144	57	2	-1
32972	8360	6144	57	1	-1
32973	8540	6144	57	1	-1
32974	210	6151	1	133	-1
32975	353	6149	1	212	-1
32976	378	6218	6	17028	-1
32977	977	6145	1	4	-1
32978	1262	6147	57	5	-1
32979	2012	6145	57	1	-1
32980	2297	6165	57	155	-1
32981	2249	6145	10	2	-1
32982	3333	6145	50	1	-1
32983	3952	6148	1	6	-1
32984	3952	6149	20	26	-1
32985	3974	6146	0	2	-1
32986	5332	6149	1	8	-1
32987	5458	6145	57	1	-1
32988	6582	6145	57	1	-1
32989	6894	6145	57	1	-1
32990	8258	6145	57	1	-1
32991	8699	6145	50	2	-1
32992	904	6146	23	1	-1
32993	983	6146	1	3	-1
