38812 
10000	1
10001	1
10002	1
10003	1
10004	1
10005	1
10006	1
10007	1
10008	1
10009	1
10010	2
10011	3
10012	1
10014	1
10015	16
10016	3
10018	1
10019	0
10020	3
10021	3
10022	0
10023	4
10024	2
10026	1
10027	3
10028	1
10029	3
10030	9
10031	4
10032	4
10033	2
10034	2
10036	5
10037	3
10038	6
10039	3
10040	2
10041	2
10042	2
10043	9
10044	0
10046	2
10047	3
10048	2
10049	3
10050	3
10051	3
10052	16
10053	1
10054	3
10055	2
10057	3
10058	5
10059	3
10060	3
10061	3
10062	2
10063	12
10064	0
10065	2
10066	1
10068	1
10070	3
10071	3
10072	2
10073	1
10074	1
10075	6
10076	11
10078	11
10080	9
10081	4
10083	2
10084	2
10085	0
10086	0
10087	2
10088	2
10091	2
10092	1
10093	2
10094	1
10095	0
10096	2
10097	3
10098	4
10099	3
10101	4
10102	1
10103	1
10104	1
10105	0
10107	3
10108	9
10109	1
10110	2
10111	3
10113	1
10114	16
10115	3
10116	1
10117	11
10118	0
10119	0
10120	16
10121	3
10122	3
10123	1
10125	3
10128	1
10129	2
10130	0
10132	3
10133	5
10134	3
10135	1
10136	1
10137	1
10138	1
10139	3
10140	3
10141	1
10142	3
10143	3
10144	1
10145	1
10146	3
10147	0
10148	6
10149	1
10150	6
10151	2
10152	1
10153	1
10154	16
10155	1
10156	3
10157	2
10158	2
10159	3
10160	16
10161	0
10162	1
10164	3
10165	1
10166	2
10167	2
10168	2
10169	1
10171	2
10172	5
10173	6
10174	0
10175	3
10176	10
10177	0
10178	1
10179	1
10180	3
10181	0
10182	1
10183	2
10184	2
10185	3
10186	1
10187	2
10189	2
10190	3
10191	1
10192	2
10193	3
10194	2
10195	16
10196	2
10197	1
10198	2
10199	1
10200	1
10201	3
10202	3
10203	3
10204	1
10206	3
10207	0
10209	4
10210	16
10211	2
10212	10
10213	2
10214	1
10215	1
10216	0
10217	2
10218	2
10219	9
10220	1
10221	3
10222	5
10223	3
10225	4
10226	2
10227	1
10228	3
10229	0
10230	3
10231	4
10232	5
10233	2
10234	9
10235	4
10236	2
10237	1
10238	3
10239	1
10240	3
10241	0
10242	0
10243	2
10244	3
10245	1
10246	3
10247	2
10248	3
10249	3
10250	4
10251	1
10253	3
10254	1
10255	1
10256	1
10257	2
10258	0
10260	0
10261	1
10262	9
10263	9
10264	11
10265	1
10266	4
10267	3
10268	3
10269	2
10270	0
10271	3
10272	3
10273	3
10274	3
10275	0
10276	1
10277	2
10278	1
10279	3
10280	9
10281	3
10282	3
10283	3
10284	2
10285	3
10286	9
10287	3
10288	3
10289	3
10290	1
10291	1
10292	1
10293	2
10294	9
10295	3
10296	3
10297	9
10298	6
10299	1
10300	9
10301	3
10302	2
10303	1
10304	1
10305	1
10306	3
10308	3
10309	1
10310	2
10311	2
10312	3
10315	1
10316	0
10317	2
10318	1
10319	2
10320	1
10321	2
10322	0
10323	3
10324	3
10325	16
10326	3
10328	3
10329	2
10330	2
10331	1
10332	9
10333	2
10334	1
10335	4
10336	3
10337	1
10338	3
10339	1
10340	2
10341	3
10342	0
10344	2
10345	16
10346	3
10347	1
10348	2
10349	16
10350	1
10351	9
10352	2
10353	1
10354	1
10355	1
10356	1
10357	3
10358	3
10359	9
10360	1
10361	3
10362	1
10363	1
10364	3
10365	3
10366	3
10367	2
10368	2
10369	2
10370	0
10371	1
10372	1
10373	16
10374	3
10376	3
10377	2
10378	3
10379	3
10380	2
10381	3
10382	3
10383	2
10384	1
10385	9
10386	0
10387	4
10388	1
10390	0
10391	2
10392	1
10394	3
10395	3
10396	3
10397	4
10398	3
10399	0
10400	0
10401	6
10402	1
10403	3
10404	2
10405	2
10406	1
10407	9
10408	16
10409	2
10410	5
10411	4
10412	2
10414	3
10416	0
10417	0
10419	11
10420	3
10421	1
10422	1
10423	2
10424	3
10425	0
10427	3
10428	9
10429	3
10430	3
10431	1
10432	1
10433	9
10434	1
10435	6
10437	2
10438	9
10439	0
10440	3
10441	4
10442	3
10443	1
10444	9
10445	3
10446	3
10447	6
10448	9
10449	0
10450	3
10451	0
10452	1
10453	16
10454	2
10455	16
10456	3
10457	1
10458	1
10459	11
10460	3
10461	2
10462	1
10463	3
10464	2
10465	4
10466	0
10467	0
10468	1
10469	1
10470	1
10471	3
10473	1
10474	3
10475	1
10476	3
10477	3
10478	16
10479	5
10480	4
10481	0
10482	16
10483	1
10484	4
10485	2
10486	0
10487	6
10488	3
10489	1
10490	0
10491	9
10492	2
10493	11
10494	3
10495	2
10496	3
10497	2
10498	3
10499	1
10500	9
10501	4
10502	1
10503	3
10504	1
10505	2
10506	2
10507	1
10508	4
10509	2
10510	2
10511	2
10512	3
10513	1
10514	1
10515	3
10516	4
10517	1
10518	0
10520	0
10521	1
10522	2
10523	1
10525	4
10526	0
10527	2
