1.00	42.69	7.55	0.00	86.62	0.00	86.62	70.04
2.00	50.24	7.55	0.00	94.72	0.00	94.72	78.88
3.00	57.79	7.55	0.00	102.83	0.00	102.83	87.37
4.00	65.34	7.55	0.00	110.93	0.00	110.93	95.56
5.00	72.89	7.55	0.00	119.03	0.00	119.03	103.50
6.00	80.44	7.55	0.00	127.13	0.00	127.13	111.22
7.00	87.99	7.55	0.00	135.24	0.00	135.24	118.75
8.00	95.54	7.55	0.00	143.34	0.00	143.34	126.11
9.00	103.09	7.55	0.00	151.44	0.00	151.44	133.31
10.00	110.64	7.55	0.00	159.54	0.00	159.54	140.37
11.00	118.19	7.55	0.00	167.65	0.00	167.65	147.30
12.00	125.74	7.55	0.00	175.75	0.00	175.75	154.11
13.00	133.29	7.55	0.00	183.85	0.00	183.85	160.81
14.00	140.84	7.55	0.00	191.95	0.00	191.95	167.41
15.00	148.39	7.55	0.00	200.06	0.00	200.06	173.92
16.00	155.94	7.55	0.00	208.16	0.00	208.16	180.33
17.00	163.50	7.55	0.00	216.26	0.00	216.26	186.66
18.00	171.05	7.55	0.00	224.36	0.00	224.36	192.92
19.00	178.60	7.55	0.00	232.47	0.00	232.47	199.10
20.00	186.15	7.55	0.00	240.57	0.00	240.57	205.21
21.00	193.70	7.55	0.00	248.67	0.00	248.67	211.25
22.00	201.25	7.55	0.00	256.77	0.00	256.77	217.23
23.00	208.80	7.55	0.00	264.87	0.00	264.87	223.15
24.00	216.35	7.55	0.00	272.98	0.00	272.98	229.02
25.00	223.90	7.55	0.00	281.08	0.00	281.08	234.82
26.00	231.45	7.55	0.00	289.18	0.00	289.18	240.58
27.00	239.00	7.55	0.00	297.28	0.00	297.28	246.28
28.00	246.55	7.55	0.00	305.39	0.00	305.39	251.94
29.00	254.10	7.55	0.00	313.49	0.00	313.49	257.55
30.00	261.65	7.55	0.00	321.59	0.00	321.59	263.11
31.00	269.20	7.55	0.00	329.69	0.00	329.69	268.63
32.00	276.75	7.55	0.00	337.80	0.00	337.80	274.11
33.00	284.30	7.55	0.00	345.90	0.00	345.90	279.55
34.00	291.85	7.55	0.00	354.00	0.00	354.00	284.95
35.00	299.40	7.55	0.00	362.10	0.00	362.10	290.32
36.00	231.51	-67.89	0.00	-2898.87	0.00	-2898.87	240.63
37.00	237.22	5.69	0.01	242.98	0.89	243.87	244.94
38.00	243.00	5.76	0.03	245.81	1.81	247.61	249.29
39.00	248.87	5.82	0.04	248.60	2.75	251.34	253.66
40.00	254.81	5.89	0.06	251.34	3.71	255.06	258.07
41.00	260.84	5.95	0.07	254.04	4.70	258.74	262.51
42.00	266.94	6.01	0.09	256.68	5.72	262.40	266.98
43.00	273.11	6.07	0.11	259.27	6.75	266.02	271.48
44.00	279.37	6.13	0.12	261.79	7.81	269.60	276.00
45.00	285.70	6.19	0.14	264.25	8.89	273.14	280.55
46.00	292.10	6.24	0.16	266.64	9.99	276.63	285.13
47.00	298.57	6.30	0.17	268.95	11.12	280.06	289.73
48.00	305.11	6.35	0.19	271.18	12.26	283.44	294.35
49.00	311.73	6.40	0.21	273.33	13.42	286.75	298.99
50.00	318.40	6.45	0.23	275.39	14.60	289.99	303.65
51.00	325.15	6.50	0.25	277.37	15.79	293.16	308.33
52.00	331.95	6.54	0.27	279.25	17.00	296.25	313.03
53.00	338.82	6.58	0.29	281.03	18.23	299.26	317.75
54.00	345.75	6.62	0.31	282.72	19.47	302.19	322.48
55.00	352.73	6.66	0.33	284.30	20.72	305.02	327.22
56.00	359.77	6.69	0.34	285.78	21.98	307.75	331.97
57.00	366.86	6.72	0.36	287.15	23.24	310.39	336.74
58.00	374.00	6.75	0.38	288.40	24.52	312.93	341.51
59.00	381.18	6.78	0.41	289.55	25.80	315.35	346.28
60.00	388.42	6.81	0.43	290.58	27.09	317.67	351.07
61.00	395.69	6.83	0.45	291.49	28.38	319.87	355.85
62.00	403.00	6.84	0.47	292.28	29.68	321.96	360.64
63.00	410.35	6.86	0.49	292.95	30.97	323.92	365.43
64.00	417.73	6.87	0.51	293.50	32.26	325.76	370.21
65.00	425.14	6.88	0.53	293.93	33.55	327.48	375.00
66.00	432.57	6.89	0.55	294.23	34.84	329.06	379.78
67.00	440.03	6.89	0.57	294.40	36.11	330.52	384.55
68.00	447.52	6.90	0.59	294.45	37.38	331.84	389.31
69.00	455.02	6.89	0.61	294.38	38.65	333.03	394.06
70.00	462.53	6.89	0.63	294.18	39.90	334.08	398.80
71.00	470.06	6.88	0.65	293.85	41.13	334.99	403.53
72.00	477.60	6.87	0.66	293.40	42.36	335.76	408.24
73.00	485.14	6.86	0.68	292.83	43.57	336.39	412.94
74.00	492.68	6.84	0.70	292.13	44.76	336.89	417.62
75.00	500.23	6.82	0.72	291.31	45.93	337.24	422.27
76.00	507.77	6.80	0.74	290.36	47.08	337.45	426.91
77.00	515.30	6.78	0.76	289.30	48.21	337.52	431.52
78.00	522.82	6.75	0.77	288.12	49.32	337.44	436.11
79.00	530.33	6.72	0.79	286.82	50.41	337.23	440.68
80.00	537.82	6.68	0.81	285.41	51.47	336.88	445.21
81.00	545.29	6.65	0.82	283.89	52.50	336.39	449.72
82.00	552.74	6.61	0.84	282.26	53.51	335.77	454.20
83.00	560.17	6.57	0.86	280.52	54.48	335.01	458.64
84.00	567.56	6.53	0.87	278.68	55.43	334.11	463.06
85.00	574.93	6.48	0.88	276.74	56.35	333.09	467.44
86.00	582.26	6.43	0.90	274.70	57.23	331.93	471.78
87.00	589.56	6.38	0.91	272.57	58.09	330.65	476.09
88.00	596.81	6.33	0.92	270.34	58.91	329.25	480.36
89.00	604.03	6.28	0.94	268.03	59.69	327.72	484.59
90.00	611.20	6.22	0.95	265.63	60.45	326.08	488.78
91.00	618.32	6.16	0.96	263.15	61.17	324.32	492.93
92.00	625.39	6.10	0.97	260.60	61.85	322.44	497.04
