season	day	day_in_year	species	grass	winter_cereal	maize	grain	count
0	396	31	pinkfoot	0	0	0	0	0
0	396	31	barnacle	0	0	0	0	0
0	396	31	greylag	0	0	0	0	0
0	424	59	pinkfoot	0	0	0	0	0
0	424	59	barnacle	0	0	0	0	0
0	424	59	greylag	0	0	0	0	0
0	455	90	pinkfoot	0	0	0	0	0
0	455	90	barnacle	0	0	0	0	0
0	455	90	greylag	0	0	0	0	0
0	485	120	pinkfoot	0	0	0	0	0
0	485	120	barnacle	0	0	0	0	0
0	485	120	greylag	0	0	0	0	0
0	516	151	pinkfoot	0	0	0	0	0
0	516	151	barnacle	0	0	0	0	0
0	516	151	greylag	0	0	0	0	0
0	546	181	pinkfoot	0	0	0	0	0
0	546	181	barnacle	0	0	0	0	0
0	546	181	greylag	0	0	0	0	0
1	577	212	pinkfoot	0	0	0	0	0
1	577	212	barnacle	0	0	0	0	0
1	577	212	greylag	0.65122	0.2	0	0.14878	410
1	608	243	pinkfoot	0	0	0	0	0
1	608	243	barnacle	0	0	0	0	0
1	608	243	greylag	0.194453	0.121096	0	0.68445	182491
1	638	273	pinkfoot	0.0427133	0.129156	0.469386	0.358745	106290
1	638	273	barnacle	0	0	0	0	0
1	638	273	greylag	0.10332	0.143042	0.0582736	0.695364	199284
1	669	304	pinkfoot	0.0941208	0.496812	0.0843789	0.324688	249541
1	669	304	barnacle	0.109974	0.0677368	0.0173795	0.80491	90394
1	669	304	greylag	0.0132568	0.414048	0.0467509	0.525944	159013
1	699	334	pinkfoot	0.105184	0.529495	0.0548641	0.310456	148549
1	699	334	barnacle	0.0709015	0.0408849	0.0193651	0.868848	147585
1	699	334	greylag	0.0153451	0.703118	0.0307739	0.250763	119647
1	730	0	pinkfoot	0.00656982	0.8433	0.0337713	0.116359	148558
1	730	0	barnacle	2.94285e-05	0.00552275	0.36868	0.625768	101942
1	730	0	greylag	0.133564	0.76124	0.0155409	0.0896549	109453
1	761	31	pinkfoot	0	0.891361	0.0186639	0.0899754	168346
1	761	31	barnacle	0.0486285	0.129807	0.222685	0.598879	124207
1	761	31	greylag	0.0313327	0.887701	0.0161347	0.0648315	85406
1	789	59	pinkfoot	0	0.979019	0.0180796	0.00290177	225724
1	789	59	barnacle	0.0261403	0.702295	0.0339828	0.237582	197894
1	789	59	greylag	0.130256	0.499358	0.0789701	0.291415	95074
1	820	90	pinkfoot	0	1	0	0	256499
1	820	90	barnacle	0.0812019	0.918798	0	0	308318
1	820	90	greylag	0.0958747	0.904125	0	0	81982
1	850	120	pinkfoot	0.16019	0.83981	0	0	31369
1	850	120	barnacle	0.0807294	0.919271	0	0	195666
1	850	120	greylag	0	0	0	0	0
