season	day	species	foraging_time	foraging_time_se	flight_distance	flight_distance_se	daily_energy_budget	daily_energy_budget_se	daily_energy_balance	daily_energy_balance_se	day_length	foraging_time_sd	flight_distance_sd	daily_energy_budget_sd	daily_energy_balance_sd
1	593	greylag	472.628	2.54995	21257.8	151.629	1386.88	0.00607527	716.751	6.82162	893	197.535	11746.1	0.470627	528.445
1	594	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	889	-1	-1	-1	-1
1	594	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	889	-1	-1	-1	-1
1	594	greylag	484.968	2.48382	20533.2	145.776	1384.94	0.00287384	725.236	6.45746	889	197.99	11620.1	0.229079	514.737
1	595	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	884	-1	-1	-1	-1
1	595	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	884	-1	-1	-1	-1
1	595	greylag	475.603	2.36757	20498.1	135.518	1383.84	0.00818035	735.607	6.12872	884	193.895	11098.5	0.669941	501.92
1	596	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	880	-1	-1	-1	-1
1	596	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	880	-1	-1	-1	-1
1	596	greylag	481.74	2.30952	20611	133.077	1380.95	0.00259403	742.022	5.8391	880	194.054	11181.6	0.21796	490.623
1	597	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	875	-1	-1	-1	-1
1	597	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	875	-1	-1	-1	-1
1	597	greylag	499.561	1.91941	22740.1	134.094	1380	0	854.501	0.718499	875	161.276	11267.1	0	60.3711
1	598	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	871	-1	-1	-1	-1
1	598	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	871	-1	-1	-1	-1
1	598	greylag	543.274	2.04142	21259.8	124.094	1377	0	843.199	1.24366	871	170.931	10390.6	0	104.133
1	599	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	866	-1	-1	-1	-1
1	599	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	866	-1	-1	-1	-1
1	599	greylag	541.055	2.03491	21141	123.213	1375	0	851.249	1.04228	866	169.765	10279.3	0	86.954
1	600	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	862	-1	-1	-1	-1
1	600	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	862	-1	-1	-1	-1
1	600	greylag	553.98	2.01823	20902.4	126.443	1373	0	846.369	1.21972	862	167.72	10507.7	0	101.361
1	601	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	857	-1	-1	-1	-1
1	601	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	857	-1	-1	-1	-1
1	601	greylag	545.042	2.0195	20630.2	122.939	1371	0	849.101	1.26514	857	167.107	10172.7	0	104.686
1	602	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	853	-1	-1	-1	-1
1	602	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	853	-1	-1	-1	-1
1	602	greylag	548.524	2.0265	21371.5	122.62	1369	0	844.259	1.40118	853	166.913	10099.6	0	115.408
1	603	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	848	-1	-1	-1	-1
1	603	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	848	-1	-1	-1	-1
1	603	greylag	552.893	2.00828	20652.4	124.923	1367	0	848.869	1.34722	848	164.618	10239.9	0	110.431
1	604	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	844	-1	-1	-1	-1
1	604	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	844	-1	-1	-1	-1
1	604	greylag	546.053	2.04137	21545.3	129.509	1365	0	848.427	1.37481	844	166.757	10579.4	0	112.306
1	605	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	839	-1	-1	-1	-1
1	605	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	839	-1	-1	-1	-1
1	605	greylag	551.669	2.0358	21129.5	124.108	1363	0	846.294	1.46462	839	165.527	10090.9	0	119.085
1	606	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	835	-1	-1	-1	-1
1	606	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	835	-1	-1	-1	-1
1	606	greylag	552.041	2.02437	21395.5	124.979	1361	0	848.209	1.47829	835	163.961	10122.6	0	119.733
1	607	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	830	-1	-1	-1	-1
1	607	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	830	-1	-1	-1	-1
1	607	greylag	556.642	2.01951	20998.8	124.037	1359	0	847.202	1.57919	830	162.806	9999.38	0	127.308
1	608	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	826	-1	-1	-1	-1
1	608	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	826	-1	-1	-1	-1
1	608	greylag	560.979	1.99023	21054.7	131.991	1357	0	844.777	1.62708	826	159.827	10599.6	0	130.664
1	609	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	821	-1	-1	-1	-1
1	609	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	821	-1	-1	-1	-1
1	609	greylag	551.898	2.00624	20915.1	125.568	1355	0	851.605	1.55486	821	160.387	10038.4	0	124.301
1	610	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	817	-1	-1	-1	-1
1	610	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	817	-1	-1	-1	-1
1	610	greylag	564.861	1.98915	20298.4	122.971	1352	0	847.339	1.73196	817	158.272	9784.48	0	137.808
1	611	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	812	-1	-1	-1	-1
1	611	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	812	-1	-1	-1	-1
1	611	greylag	559.963	1.99018	21488	130.099	1351	0	843.01	1.85312	812	157.689	10308.3	0	146.83
1	612	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	808	-1	-1	-1	-1
1	612	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	808	-1	-1	-1	-1
1	612	greylag	565.145	1.98514	20904.5	131.058	1348	0	842.636	1.91989	808	156.675	10343.7	0	151.525
1	613	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	803	-1	-1	-1	-1
1	613	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	803	-1	-1	-1	-1
1	613	greylag	561.061	1.97596	21490.9	130.336	1346	0	846.268	1.85049	803	155.336	10246.1	0	145.473
1	614	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	798	-1	-1	-1	-1
1	614	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	798	-1	-1	-1	-1
1	614	greylag	560.749	1.96534	20867.5	131.497	1344	0	844.711	1.94783	798	153.762	10287.9	0	152.392
1	615	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	794	-1	-1	-1	-1
1	615	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	794	-1	-1	-1	-1
1	615	greylag	560.204	1.97158	21308.6	137.063	1342	0	840.054	2.12312	794	153.682	10683.9	0	165.494
1	616	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	789	-1	-1	-1	-1
1	616	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	789	-1	-1	-1	-1
1	616	greylag	560.795	1.95341	21703.3	136.192	1340	0	844.157	2.0293	789	151.651	10573.1	0	157.542
1	617	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	785	-1	-1	-1	-1
1	617	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	785	-1	-1	-1	-1
