0	0
2.5	0.104516
5	0.207212
7.5	0.308137
10	0.407334
12.5	0.504849
15	0.600723
17.5	0.694998
20	0.787713
22.5	0.878907
25	0.968617
27.5	1.05688
30	1.14373
32.5	1.2292
35	1.31332
37.5	1.39612
40	1.47765
42.5	1.55791
45	1.63695
47.5	1.71479
50	1.79146
52.5	1.86699
55	1.94139
57.5	2.0147
60	2.08694
62.5	2.15813
65	2.2283
67.5	2.29746
70	2.36564
72.5	2.43286
75	2.49914
77.5	2.56449
80	2.62895
82.5	2.69252
85	2.75523
87.5	2.81709
90	2.87811
92.5	2.93833
95	2.99774
97.5	3.05638
100	3.11424
102.5	3.17136
105	3.22773
107.5	3.28338
110	3.33833
112.5	3.39258
115	3.44614
117.5	3.49904
120	3.55127
122.5	3.60287
125	3.65382
127.5	3.70416
130	3.75389
132.5	3.80301
135	3.85155
137.5	3.89951
140	3.9469
142.5	3.99374
145	4.04002
147.5	4.08577
150	4.13099
152.5	4.17569
155	4.21987
157.5	4.26356
160	4.30675
162.5	4.34945
165	4.39168
167.5	4.43344
170	4.47474
172.5	4.51558
175	4.55597
177.5	4.59593
180	4.63545
182.5	4.67455
185	4.71323
187.5	4.7515
190	4.78937
192.5	4.82683
195	4.8639
197.5	4.90059
200	4.93689
202.5	4.97283
205	5.00839
207.5	5.04359
210	5.07843
212.5	5.11292
215	5.14706
217.5	5.18086
220	5.21433
222.5	5.24746
225	5.28027
227.5	5.31275
230	5.34492
232.5	5.37677
235	5.40832
237.5	5.43957
240	5.47051
242.5	5.50116
245	5.53152
247.5	5.56159
250	5.59138
252.5	5.62089
255	5.65013
257.5	5.6791
260	5.70779
262.5	5.73623
265	5.76441
267.5	5.79232
270	5.81999
272.5	5.84741
275	5.87458
277.5	5.90151
280	5.9282
282.5	5.95465
285	5.98087
287.5	6.00686
290	6.03262
292.5	6.05816
295	6.08348
297.5	6.10858
300	6.13346
302.5	6.15813
305	6.18259
307.5	6.20684
310	6.23089
312.5	6.25474
315	6.27838
317.5	6.30183
320	6.32509
322.5	6.34815
325	6.37102
327.5	6.39371
330	6.41621
332.5	6.43852
335	6.46066
337.5	6.48261
340	6.5044
342.5	6.526
345	6.54744
347.5	6.5687
350	6.5898
352.5	6.61073
355	6.63149
357.5	6.65209
360	6.67254
362.5	6.69282
365	6.71295
367.5	6.73292
370	6.75274
372.5	6.77241
375	6.79193
377.5	6.8113
380	6.83052
382.5	6.8496
385	6.86854
387.5	6.88733
390	6.90599
392.5	6.92451
395	6.94289
397.5	6.96113
400	6.97924
402.5	6.99722
405	7.01507
407.5	7.03279
410	7.05038
412.5	7.06785
415	7.08519
417.5	7.1024
420	7.1195
422.5	7.13647
425	7.15332
427.5	7.17005
430	7.18667
432.5	7.20317
435	7.21955
437.5	7.23582
440	7.25198
442.5	7.26803
445	7.28396
447.5	7.29979
450	7.31551
452.5	7.33112
455	7.34662
457.5	7.36203
460	7.37732
462.5	7.39252
465	7.40761
467.5	7.4226
470	7.43749
472.5	7.45229
475	7.46699
477.5	7.48158
480	7.49609
482.5	7.5105
485	7.52481
487.5	7.53903
490	7.55316
492.5	7.5672
495	7.58115
497.5	7.59501
500	7.60878
502.5	7.62246
505	7.63606
507.5	7.64957
510	7.66299
512.5	7.67633
515	7.68959
517.5	7.70276
520	7.71586
522.5	7.72887
525	7.74179
527.5	7.75464
530	7.76741
532.5	7.78011
535	7.79272
537.5	7.80526
540	7.81772
542.5	7.83011
545	7.84242
547.5	7.85465
550	7.86682
552.5	7.87891
555	7.89093
557.5	7.90287
560	7.91475
562.5	7.92655
565	7.93829
567.5	7.94995
570	7.96155
572.5	7.97308
575	7.98455
577.5	7.99594
580	8.00727
582.5	8.01854
585	8.02974
587.5	8.04087
590	8.05195
592.5	8.06295
595	8.0739
597.5	8.08478
600	8.0956
602.5	8.10636
605	8.11706
607.5	8.1277
610	8.13828
612.5	8.14881
615	8.15927
617.5	8.16967
620	8.18002
622.5	8.19031
625	8.20054
627.5	8.21072
630	8.22084
632.5	8.2309
635	8.24091
637.5	8.25087
640	8.26077
642.5	8.27062
645	8.28042
647.5	8.29016
650	8.29985
652.5	8.30949
655	8.31908
657.5	8.32861
660	8.3381
662.5	8.34753
665	8.35692
667.5	8.36626
670	8.37554
672.5	8.38478
675	8.39397
677.5	8.40311
680	8.41221
682.5	8.42126
685	8.43026
687.5	8.43921
690	8.44812
692.5	8.45698
695	8.4658
697.5	8.47457
700	8.4833
702.5	8.49198
705	8.50062
707.5	8.50922
710	8.51777
712.5	8.52628
715	8.53475
717.5	8.54317
720	8.55156
722.5	8.5599
725	8.5682
727.5	8.57646
730	8.58467
732.5	8.59285
735	8.60099
737.5	8.60908
740	8.61714
742.5	8.62516
745	8.63314
747.5	8.64108
750	8.64898
752.5	8.65684
755	8.66467
757.5	8.67246
760	8.68021
762.5	8.68792
765	8.6956
767.5	8.70324
770	8.71084
772.5	8.71841
775	8.72594
777.5	8.73344
780	8.7409
782.5	8.74833
785	8.75572
787.5	8.76308
790	8.7704
792.5	8.77769
795	8.78494
797.5	8.79216
800	8.79935
802.5	8.80651
805	8.81363
807.5	8.82072
810	8.82777
812.5	8.8348
815	8.84179
817.5	8.84875
820	8.85568
822.5	8.86258
825	8.86944
827.5	8.87628
830	8.88308
832.5	8.88986
835	8.8966
837.5	8.90332
840	8.91
842.5	8.91665
845	8.92328
847.5	8.92987
850	8.93644
852.5	8.94298
855	8.94949
857.5	8.95597
860	8.96242
862.5	8.96884
865	8.97524
867.5	8.9816
870	8.98794
872.5	8.99426
