746 
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
60	0	32	1	0.071	0.5	11254	17404	1	117	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	0	9	0	0.071	0.5	1094	22830	3	410	272	169	NA	NA	NA	NA	NA	NA	NA
62	0	30	0	1	0.5	31456	22149	2	249	439	NA	NA	NA	NA	NA	NA	NA	NA
63	0	8	1	0	0.5	2714	14747	3	253	254	227	NA	NA	NA	NA	NA	NA	NA
64	0	4	1	1	0.5	15485	5983	2	462	112	NA	NA	NA	NA	NA	NA	NA	NA
65	0	4	1	1	0.5	14946	7799	3	217	417	183	NA	NA	NA	NA	NA	NA	NA
66	0	17	1	0.429	0.5	12559	15559	1	210	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	0	17	1	0.071	0.5	6878	14657	1	293	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	0	20	1	0.143	0.5	3329	21783	1	250	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	0	25	1	0	0.5	15692	14931	1	35	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	0	7	0	0.429	0.5	16937	12940	4	464	73	65	323	NA	NA	NA	NA	NA	NA
71	0	5	1	0	0.5	31220	7912	1	532	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	0	12	1	0	0.5	3935	11393	2	86	392	NA	NA	NA	NA	NA	NA	NA	NA
73	0	6	1	0	0.5	30048	11674	1	88	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	0	1	0	0.071	0.5	16300	14822	2	117	296	NA	NA	NA	NA	NA	NA	NA	NA
75	0	9	1	0.143	0.5	9614	19504	3	294	184	483	NA	NA	NA	NA	NA	NA	NA
76	0	44	1	0	0.5	1980	10584	3	47	428	10	NA	NA	NA	NA	NA	NA	NA
77	0	5	1	1	0.5	15251	14724	1	273	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	0	5	0	0.071	0.5	20820	5000	2	63	166	NA	NA	NA	NA	NA	NA	NA	NA
79	0	6	0	0.143	0.5	6420	14205	3	31	7	316	NA	NA	NA	NA	NA	NA	NA
80	0	5	1	1	0.5	23931	5649	2	197	385	NA	NA	NA	NA	NA	NA	NA	NA
81	0	32	1	0.429	0.5	30314	7843	3	94	516	483	NA	NA	NA	NA	NA	NA	NA
82	0	17	1	0	0.5	14823	7704	1	199	NA	NA	NA	NA	NA	NA	NA	NA	NA
83	0	15	0	0.143	0.5	136	18486	2	68	486	NA	NA	NA	NA	NA	NA	NA	NA
84	0	9	0	0.143	0.5	31706	8517	2	89	86	NA	NA	NA	NA	NA	NA	NA	NA
85	0	25	1	0.143	0.5	34884	23178	2	288	383	NA	NA	NA	NA	NA	NA	NA	NA
86	0	65	1	0.429	0.5	35767	9518	4	170	216	208	413	NA	NA	NA	NA	NA	NA
87	0	20	1	0	0.5	4861	13890	3	199	148	460	NA	NA	NA	NA	NA	NA	NA
88	0	11	1	0.071	0.5	12028	16809	1	485	NA	NA	NA	NA	NA	NA	NA	NA	NA
89	0	12	1	0.071	0.5	18573	13669	1	442	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	0	20	0	0.429	0.5	6937	14413	4	484	483	164	134	NA	NA	NA	NA	NA	NA
91	0	25	1	0.071	0.5	9649	19081	1	85	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	0	15	1	0.429	0.5	20089	6848	2	522	124	NA	NA	NA	NA	NA	NA	NA	NA
93	0	25	1	0.429	0.5	28391	11506	1	449	NA	NA	NA	NA	NA	NA	NA	NA	NA
94	0	1	1	0.429	0.5	27221	12253	5	384	502	129	253	289	NA	NA	NA	NA	NA
95	0	18	1	0.429	0.5	1980	10584	2	437	351	NA	NA	NA	NA	NA	NA	NA	NA
96	0	6	1	0.429	0.5	899	19705	1	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	0	9	0	1	0.5	9960	13742	1	340	NA	NA	NA	NA	NA	NA	NA	NA	NA
98	0	25	1	1	0.5	31230	8415	1	212	NA	NA	NA	NA	NA	NA	NA	NA	NA
99	0	5	0	0.429	0.5	1890	16932	3	37	180	499	NA	NA	NA	NA	NA	NA	NA
100	0	21	1	0.143	0.5	23931	5649	3	512	354	12	NA	NA	NA	NA	NA	NA	NA
101	0	4	1	0.429	0.5	15359	9415	2	469	25	NA	NA	NA	NA	NA	NA	NA	NA
102	0	7	1	0.071	0.5	25523	7135	1	462	NA	NA	NA	NA	NA	NA	NA	NA	NA
103	0	21	0	0.429	0.5	8803	6179	2	10	127	NA	NA	NA	NA	NA	NA	NA	NA
104	0	1	0	0.071	0.5	32549	11456	3	294	276	550	NA	NA	NA	NA	NA	NA	NA
105	0	20	1	0	0.5	26900	11809	3	485	8	72	NA	NA	NA	NA	NA	NA	NA
106	0	14	0	0.429	0.5	28644	8553	3	93	8	35	NA	NA	NA	NA	NA	NA	NA
107	0	5	1	0.429	0.5	31046	9940	5	170	425	457	27	182	NA	NA	NA	NA	NA
108	0	20	1	0.429	0.5	13075	9253	3	199	40	163	NA	NA	NA	NA	NA	NA	NA
109	0	35	1	1	0.5	25510	6729	2	458	47	NA	NA	NA	NA	NA	NA	NA	NA
110	0	34	0	0.429	0.5	25923	7290	1	317	NA	NA	NA	NA	NA	NA	NA	NA	NA
111	0	14	1	0.143	0.5	19124	5005	2	68	40	NA	NA	NA	NA	NA	NA	NA	NA
112	0	5	1	0.143	0.5	16893	11165	2	531	303	NA	NA	NA	NA	NA	NA	NA	NA
113	0	12	1	0.429	0.5	26887	11000	1	185	NA	NA	NA	NA	NA	NA	NA	NA	NA
114	0	26	1	0.143	0.5	31473	7648	2	485	403	NA	NA	NA	NA	NA	NA	NA	NA
115	0	25	1	0.429	0.5	13981	16105	5	183	28	196	431	397	NA	NA	NA	NA	NA
116	0	17	1	1	0.5	19124	5005	2	437	316	NA	NA	NA	NA	NA	NA	NA	NA
117	0	21	0	0.429	0.5	6243	14243	3	446	534	91	NA	NA	NA	NA	NA	NA	NA
118	0	9	0	0.429	0.5	13456	6588	2	403	177	NA	NA	NA	NA	NA	NA	NA	NA
119	0	20	1	0.429	0.5	15444	8162	2	417	115	NA	NA	NA	NA	NA	NA	NA	NA
120	0	12	1	0.429	0.5	6446	14625	1	164	NA	NA	NA	NA	NA	NA	NA	NA	NA
121	0	1	1	0.071	0.5	15251	14724	3	28	101	105	NA	NA	NA	NA	NA	NA	NA
122	0	14	1	0.143	0.5	31286	11871	5	250	253	273	484	460	NA	NA	NA	NA	NA
123	0	9	1	0.429	0.5	15192	8106	1	394	NA	NA	NA	NA	NA	NA	NA	NA	NA
124	0	12	1	0	0.5	23851	2972	1	127	NA	NA	NA	NA	NA	NA	NA	NA	NA
125	0	65	1	0.071	0.5	9731	19168	2	227	302	NA	NA	NA	NA	NA	NA	NA	NA
126	0	35	1	0.071	0.5	6079	14261	5	98	186	443	35	274	NA	NA	NA	NA	NA
127	0	60	1	0.429	0.5	32775	7562	2	170	448	NA	NA	NA	NA	NA	NA	NA	NA
128	0	25	1	0.143	0.5	32278	11469	1	411	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	0	12	1	1	0.5	10595	10598	2	479	139	NA	NA	NA	NA	NA	NA	NA	NA
130	0	18	0	0.429	0.5	3266	21377	1	100	NA	NA	NA	NA	NA	NA	NA	NA	NA
131	0	20	1	0.071	0.5	5602	17891	5	314	458	390	186	16	NA	NA	NA	NA	NA
132	0	24	1	0.429	0.5	30870	11677	2	23	366	NA	NA	NA	NA	NA	NA	NA	NA
133	0	11	1	0.429	0.5	16996	10250	1	62	NA	NA	NA	NA	NA	NA	NA	NA	NA
134	0	22	1	0.429	0.5	4024	19827	2	540	135	NA	NA	NA	NA	NA	NA	NA	NA
135	0	32	1	0.429	0.5	34709	4060	1	309	NA	NA	NA	NA	NA	NA	NA	NA	NA
136	0	4	1	0	0.5	2778	21836	2	373	286	NA	NA	NA	NA	NA	NA	NA	NA
137	0	15	0	0.071	0.5	23155	5809	2	451	134	NA	NA	NA	NA	NA	NA	NA	NA
138	0	65	1	0.429	0.5	29853	13982	1	48	NA	NA	NA	NA	NA	NA	NA	NA	NA
139	0	25	1	0.071	0.5	3331	21857	3	402	394	112	NA	NA	NA	NA	NA	NA	NA
140	0	20	0	0.429	0.5	15382	15108	4	546	472	169	396	NA	NA	NA	NA	NA	NA
141	0	20	1	0	0.5	32533	8369	2	53	358	NA	NA	NA	NA	NA	NA	NA	NA
142	0	7	1	0.143	0.5	13433	9649	1	552	NA	NA	NA	NA	NA	NA	NA	NA	NA
143	0	23	1	0.071	0.5	33599	11385	1	152	NA	NA	NA	NA	NA	NA	NA	NA	NA
144	0	13	1	0.429	0.5	21946	5074	1	101	NA	NA	NA	NA	NA	NA	NA	NA	NA
145	0	16	0	0.143	0.5	16640	11741	5	28	490	311	367	503	NA	NA	NA	NA	NA
146	0	5	1	0.071	0.5	4269	11803	2	449	216	NA	NA	NA	NA	NA	NA	NA	NA
147	0	25	1	0.071	0.5	30013	22766	1	288	NA	NA	NA	NA	NA	NA	NA	NA	NA
148	0	5	1	0.143	0.5	3693	12954	2	303	503	NA	NA	NA	NA	NA	NA	NA	NA
149	0	11	1	0.143	0.5	11836	16867	4	417	216	394	317	NA	NA	NA	NA	NA	NA
150	0	30	1	0.429	0.5	3364	18113	1	439	NA	NA	NA	NA	NA	NA	NA	NA	NA
151	0	60	1	0.429	0.5	32366	7218	1	516	NA	NA	NA	NA	NA	NA	NA	NA	NA
152	0	30	0	0.429	0.5	4013	11347	3	440	30	390	NA	NA	NA	NA	NA	NA	NA
153	0	5	1	0.429	0.5	14429	14064	3	249	530	312	NA	NA	NA	NA	NA	NA	NA
154	0	6	0	0.143	0.5	34142	14000	1	396	NA	NA	NA	NA	NA	NA	NA	NA	NA
155	0	30	0	0.071	0.5	5462	15351	2	152	493	NA	NA	NA	NA	NA	NA	NA	NA
156	0	50	1	0.143	0.5	33583	14330	1	309	NA	NA	NA	NA	NA	NA	NA	NA	NA
157	0	9	1	0.429	0.5	15549	8216	2	12	368	NA	NA	NA	NA	NA	NA	NA	NA
158	0	4	1	0	0.5	5960	14155	3	122	369	21	NA	NA	NA	NA	NA	NA	NA
